PRN 4 LOS PointD 2nd Delta,PRN 8 NLOS PointD 2nd Delta,PRN 9 NLOS PointD 2nd Delta
-1.216319941,-1.256487761,-37.39117147
-0.896384183,-0.988706939,-23.66309265
0.67232576,0.727330815,3.301603314
-0.095588438,0.005892534,21.19369858
-0.122933034,-0.176908337,-0.183941163
0.102675397,0.107621126,-2.675039772
0.184694789,0.339919064,15.6188619
0.010868113,0.147483606,-3.353043303
0.209473617,0.489725392,11.72593679
-1.760189969,-1.441504274,-19.15855802
1.793053247,1.983912859,0.232730206
-0.656596076,-0.064360827,0.34435416
0.908131499,1.053451758,-2.727448713
0.360503498,0.481664412,17.55007509
-0.123670407,0.070036482,1.71360831
-1.145099111,-0.968005501,-9.999449093
1.250944272,1.509862948,-2.270482812
0.208508395,0.320504975,-4.864274718
-1.377372123,-1.214149605,-2.647494704
1.430010758,1.654458713,3.468803633
-1.741229519,-1.614679325,-0.194192618
1.780596152,1.976647854,2.147299703
0.072433881,0.227407128,-0.201063648
-0.71368565,-0.628652558,-1.146110915
0.925445318,0.727892064,0.934044916
0.075599413,-0.291613124,0.230244428
0.088057239,-0.084562521,0.553023819
0.21967547,0.263416536,0.353392009
-0.043305505,0.06440293,-0.180412091
0.063181885,66.67270221,-0.247270007
0.037033763,-38.65830075,0.178521667
0.23771929,0.241360981,0.627837237
-0.122551564,-0.121899564,0.17970439
-0.03811536,-9.233501885,-0.078700107
0.612676185,-20.59756097,-15.98286266
-0.356188878,-1.674606729,8.472324044
-0.082421403,-0.2798285,25.97284845
0.80532157,2.510668494,10.57791055
-0.268060979,-0.574314866,-18.44360081
0.038269192,0.537492514,-10.67444088
-0.321434952,1.277886372,-23.86201545
0.568127923,1.278609149,4.88049392
0.194062255,0.150491089,14.73224911
-0.814155601,-1.011719864,10.98649141
0.810630944,0.241415683,2.40683471
0.316726614,-26.93301272,-9.499908578
-0.268296503,0.678392295,-0.043269075
0.242521077,6.438086316,-2.317135185
-0.065310407,7.414211608,1.473691955
0.169002865,2.195645392,1.091530766
0.003142692,-1.381343912,1.577969145
0.047494717,3.247282378,-0.54249648
1.05019464,1.856046528,1.053023085
-0.584726822,1.509000335,-0.882148411
0.094981153,3.500756316,-0.135055613
0.04728236,0.801149059,1.107747201
-0.008593392,0.832007587,39.3436121
0.191713836,0.436382711,-21.42713692
0.5971018,0.583704926,5.972803026
-0.33607427,0.13006277,3.045416735
0.458997745,0.905357551,-4.150130667
-0.216008455,-0.196511105,1.558654647
0.360787988,0.419985097,-11.68193126
-0.663886547,-0.105969407,-2.770131085
0.914660435,0.300045621,6.277793948
-0.109123625,-0.915878963,11.53801174
0.15568766,0.88716504,-2.799142059
0.038505517,-0.215652663,-0.422284219
0.11651963,0.026035126,-1.397190627
0.095916957,0.086611282,-7.714217804
-0.144488923,0.159107797,10.97013077
0.31472658,-0.021963861,2.606337883
-0.206290849,-0.099664152,-8.61446546
0.338050798,0.520513356,-3.651355904
-0.197789866,-0.224197652,10.78261168
0.50325013,0.277914118,2.772690278
-0.230633076,-0.240258787,0.387933269
0.741178971,0.468568131,14.71255628
-0.153520256,-0.202045783,-7.668477412
-0.121409431,0.720760018,3.926997576
-0.14839543,-0.183085155,11.37728761
0.030055184,-0.114992853,0.346748956
0.127915759,-0.089968286,-0.12773316
0.405249733,0.168288305,-0.292240217
-0.137596555,0.232092634,0.130625587
0.125322316,0.469248366,0.216728248
0.022062026,-0.070122272,0.638783578
0.222893234,0.161516242,-1.090628248
0.351671293,0.112205099,0.83814894
-0.364864163,0.292063486,-1.825344414
0.307859484,0.429162055,-23.01250159
0.027058724,-0.334827881,0.572757486
0.084644631,0.362533506,12.24313039
0.032431033,0.107320294,-8.852548786
-0.080701899,0.186650857,2.36030329
0.520399358,0.237631593,11.94831941
-0.024007663,0.194521084,-2.776855074
-0.107594259,0.753402475,1.274510358
0.105670098,-0.048079025,-12.20805544
0.350421708,-0.336108442,12.08903938
-0.25502697,0.126724467,-6.550391126
0.191876598,0.314390846,-155.145969
0.128667302,-0.230598975,159.6344086
0.156283904,0.227727283,-0.30846072
-0.011510361,0.21552651,0.043837216
-0.055124912,0.323725261,0.130846273
0.198199309,0.233209245,-0.882111121
0.51860946,98.68753469,-0.213835996
0.097415738,-70.55590348,0.321355842
-0.219593119,-4.984034549,-0.049622636
0.371518321,-2.965912051,8.30594217
-0.167112589,-19.2383164,-26.07215708
0.182462413,-7.607421592,-1.366836037
0.010758139,-0.58654746,1.694770716
0.088505704,-20.59692903,24.85078902
-0.069689099,6.872539062,3.52914644
-0.320509519,-3.304035578,-10.81641216
0.376436815,13.09190381,0.085331317
-0.28497861,-12.715965,14.78035496
0.335313313,16.37948324,-14.41830458
0.460055523,13.29370954,2.934328273
-0.239234246,-2.533533581,-1.244653754
-0.073197614,-2.113661312,-0.981347717
0.162712023,-2.130451322,-1.721058238
0.052036453,0.529961199,-0.629982769
0.40029275,1.120328374,0.802504949
0.020121343,0.899636853,0.587871354
0.192523573,18.53797049,-0.16861416
0.111924134,-0.141259603,-0.842015129
0.143686146,-24.88817374,0.000829462
0.004644312,17.97063168,-0.654543534
0.010298014,-2.563419316,-0.005986821
0.153937791,-4.245515063,0.580159757
-0.014986083,2.008695453,-0.046584327
0.029543057,-3.437588084,-0.093490876
0.500022721,1.65273371,-0.137998793
