 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1,462167.40414843516,77.0,0,-494038.29300192744,40,39,39,-0.3790000000008149,18092.29109513387,-9.345537244670276E-6,9.115497E-13,0.0,93.67443230748177,0.4996586740016937,16.136250987648964,NLOS,
3,462167.40414843516,46.0,0,-433224.1804258935,31,30,31,-0.43100000000049477,17890.452351816,1.9359578951028803E-4,2.1957989E-11,0.0,293.70717737451196,-2.285278767347336,42.3028526045382,NLOS,
4,462167.40414843516,66.0,0,-493224.8096848726,46,45,46,-0.29100000000107684,18521.598812505603,-6.773099420939892E-6,1.1113381E-13,0.0,335.9387230426073,0.30450286343693733,-26.149607840925455,LOS,
9,462167.40414843516,8.0,0,-514815.5931709409,44,43,44,-0.3650000000016007,17601.2169152461,-7.839871051496266E-5,-1.1731217E-11,0.0,584.4431921727955,0.589710209518671,91.81587259843946,LOS,
74,462167.40414843516,49.0,0,-480349.83013923466,35,34,38,0.3870000000024447,18426.439139004797,3.6716350955448234E-5,1.8189894E-12,0.0,240.7293893545866,5.854682046920061,136.68007192760706,LOS,
23,462167.40414843516,38.0,0,-517309.01383943856,43,42,42,-0.32300000000032014,17771.386945005506,-8.684655184402389E-5,5.2702547E-13,0.0,414.0489175878465,0.5183146335184574,52.637424264103174,LOS,
1,462168.4042072695,77.0,0,-512231.1080815233,40,39,40,0.5759999999972933,18100.029493890703,-9.34553633312232E-6,9.115497E-13,0.0,93.57095500454307,0.10347730293869972,15.746497672051191,NLOS,
3,462168.4042072695,46.0,0,-451416.8900634162,30,29,31,0.5080000000016298,17898.022062104195,1.9359581146823692E-4,2.1957989E-11,0.0,295.2097233980894,-1.5025460235774517,41.813966765999794,NLOS,
4,462168.4042072695,66.0,0,-511418.4830145091,46,45,46,0.4400000000023283,18529.481329530478,-6.773099309806284E-6,1.1113381E-13,0.0,336.33962204679847,0.4008990041911602,-25.68135107308626,LOS,
9,462168.4042072695,8.0,0,-533008.1536912955,44,43,44,0.2930000000014843,17608.660630654544,-7.83987222461578E-5,-1.1731217E-11,0.0,584.4794238582253,-0.03623168542981148,91.1677698418498,LOS,
