PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1,77,0,-494038.293,40,39,39,40,19,-0.379,18092.2911,-9.35E-06,9.12E-13,0,93.67443231,0.499658674,16.13625099,LOS
3,46,0,-433224.1804,31,30,31,36,20,-0.431,17890.45235,1.94E-04,2.20E-11,0,293.7071774,-2.285278767,42.3028526,NLOS
4,66,0,-493224.8097,46,45,46,48,44,-0.291,18521.59881,-6.77E-06,1.11E-13,0,335.938723,0.304502863,-26.14960784,LOS
9,8,0,-514815.5932,44,43,44,45,43,-0.365,17601.21692,-7.84E-05,-1.17E-11,0,584.4431922,0.58971021,91.8158726,LOS
73,32,0,-853742.5782,35,34,35,35,24,-0.239,18536.6683,0,0,0,350.9580014,1.553703461,362522.143,NLOS
74,49,0,-480349.8301,35,34,38,46,34,0.387,18426.43914,3.67E-05,1.82E-12,0,240.7293894,5.854682047,136.6800719,LOS
81,26,0,-446070.7626,19,18,19,19,16,-0.693,18945.36985,0,0,0,759.6595511,-22.37054506,-45149.67255,NLOS
23,38,0,-517309.0138,43,42,42,47,41,-0.323,17771.38695,-8.68E-05,5.27E-13,0,414.0489176,0.518314634,52.63742426,LOS
1,77,0,-512231.1081,40,39,40,40,19,0.576,18100.02949,-9.35E-06,9.12E-13,0,93.570955,0.103477303,15.74649767,LOS
3,46,0,-451416.8901,30,29,31,36,20,0.508,17898.02206,1.94E-04,2.20E-11,0,295.2097234,-1.502546024,41.81396677,NLOS
4,66,0,-511418.483,46,45,46,48,44,0.44,18529.48133,-6.77E-06,1.11E-13,0,336.339622,0.400899004,-25.68135107,LOS
9,8,0,-533008.1537,44,43,44,45,43,0.293,17608.66063,-7.84E-05,-1.17E-11,0,584.4794239,-0.036231685,91.16776984,LOS
73,32,0,-871957.3744,35,34,35,35,24,0.453,18544.21955,0,0,0,351.0144472,0.056445811,362543.7341,NLOS
74,49,0,-498546.5644,35,34,35,46,34,-0.213,18430.81829,3.67E-05,1.82E-12,0,237.6137313,-3.115658022,140.2097811,LOS
81,26,0,-464244.311,19,19,19,19,16,0.498,18943.24092,0,0,0,750.0358131,-9.623738013,-45169.3293,NLOS
23,38,0,-535502.044,43,42,43,47,41,0.434,17778.93065,-8.68E-05,5.27E-13,0,414.0174872,0.031430431,52.4626218,LOS
1,77,0,-530413.0353,40,39,40,40,19,-0.435,18089.51958,-9.35E-06,9.12E-13,0,93.69145233,-0.120497324,14.9615924,LOS
3,46,0,-469598.4246,30,29,31,36,20,-0.33,17887.5561,1.94E-04,2.20E-11,0,295.6287379,-0.419014547,40.64271601,NLOS
4,66,0,-529601.3689,46,45,46,48,44,-0.455,18518.71655,-6.77E-06,1.11E-13,0,336.0629288,-0.276693214,-25.50785237,LOS
9,8,0,-551191.6657,44,43,44,45,43,-0.4,17598.36987,-7.84E-05,-1.17E-11,0,584.306811,0.172612812,91.96388923,LOS
73,32,0,-890162.9274,35,34,35,35,24,-1.25,18536.39286,0,0,0,353.6804866,2.666039366,362566.5747,NLOS
74,49,0,-516728.2633,34,34,35,46,34,0.252,18415.04025,3.67E-05,1.82E-12,0,232.3284251,-5.285306253,139.1968914,LOS
81,26,0,-482467.3801,19,19,19,19,16,-0.248,18991.28137,0,0,0,808.5689985,58.53318547,-45128.97253,NLOS
23,38,0,-553685.4933,43,42,43,47,41,-0.549,17768.56227,-8.68E-05,5.27E-13,0,413.934015,0.083472196,53.19970362,LOS
1,77,0,-548615.9267,40,39,40,40,19,0.199,18110.64689,-9.35E-06,9.12E-13,0,93.54775581,0.143696517,14.15544844,LOS
3,46,0,-487802.7927,30,29,30,36,20,0.107,17908.34677,1.94E-04,2.20E-11,0,294.3607416,1.267996375,41.31952718,NLOS
4,66,0,-547804.7748,46,45,46,48,44,0.213,18540.32585,-6.77E-06,1.11E-13,0,336.6468133,0.583884448,-25.79966788,LOS
9,8,0,-569395.0619,44,43,44,45,43,0.105,17618.84277,-7.84E-05,-1.17E-11,0,584.8454008,-0.538589764,91.65874839,LOS
73,32,0,-908387.3933,35,34,35,35,24,1.196,18554.67675,0,0,0,350.9789084,-2.701578166,362587.3428,NLOS
74,49,0,-534932.7549,34,33,35,46,33,0.381,18438.89831,3.67E-05,1.82E-12,0,235.2010147,2.872589629,139.9911277,LOS
76,28,0,950681.4777,25,0,0,25,0,0,0,0,0,0,2.05E+07,2.05E+07,-1496481.528,NLOS
81,26,0,-500672.1977,20,19,19,20,16,-0.495,18975.29697,0,0,0,771.599127,-36.96987151,-45127.85276,NLOS
23,38,0,-571888.9978,43,42,43,47,41,0.223,17789.25798,-8.68E-05,5.27E-13,0,414.3114913,-0.377476357,53.0065524,LOS
1,77,0,-566808.7076,40,39,40,40,19,0.213,18100.22749,-9.35E-06,9.12E-13,0,93.43409025,0.113665558,13.73152709,LOS
3,46,0,-505997.9108,30,29,30,36,20,0.125,17897.96533,1.94E-04,2.20E-11,0,292.4748458,1.885895777,43.23913703,NLOS
4,66,0,-565998.8307,46,45,46,48,44,0.177,18529.6552,-6.77E-06,1.11E-13,0,336.4640671,-0.182746146,-24.94890087,LOS
9,8,0,-587588.6337,44,43,44,45,43,0.115,17608.62628,-7.84E-05,-1.17E-11,0,584.5765777,0.26882308,92.02186635,LOS
73,32,0,-926600.865,35,34,35,35,24,-0.973,18543.94131,0,0,0,350.7362068,-0.242701571,362607.6094,NLOS
74,49,0,-553131.9758,34,33,34,46,33,-0.106,18433.13823,3.67E-05,1.82E-12,0,239.9336683,4.732653566,146.0075144,LOS
76,28,0,-566474.3701,25,0,0,25,0,0,0,0,0,0,2.20E+07,2.20E+07,2481.114481,NLOS
81,26,0,-518835.7724,20,19,20,20,16,-0.955,18932.07278,0,0,0,738.8676737,-32.73145331,-45157.48321,NLOS
23,38,0,-590082.7483,44,43,43,47,41,0.07,17778.97931,-8.68E-05,5.27E-13,0,414.0892449,0.222246438,53.55204209,LOS
1,77,0,-585000.9566,40,39,40,40,19,-0.033,18100.35918,-9.35E-06,9.12E-13,0,93.39853416,0.035556089,12.47592892,LOS
3,46,0,-524193.6016,30,29,30,36,20,0.066,17897.99779,1.94E-04,2.20E-11,0,291.6285441,0.846301656,45.43162946,NLOS
4,66,0,-584192.1701,46,45,46,48,44,-0.062,18529.76783,-6.77E-06,1.11E-13,0,336.2705862,-0.193480976,-25.11438761,LOS
9,8,0,-605781.4107,44,43,44,45,43,-0.097,17608.68934,-7.84E-05,-1.17E-11,0,584.8324546,-0.255876832,91.29046748,LOS
73,32,0,-944816.4655,35,34,35,35,24,-0.142,18545.83756,0,0,0,352.3326585,1.596451629,362629.705,NLOS
74,49,0,-571325.4447,34,33,34,46,33,-0.299,18428.48643,3.67E-05,1.82E-12,0,234.9820802,-4.951588027,145.9720185,LOS
76,28,0,-584674.5091,25,24,25,25,0,0.629,18266.12012,0,0,0,72.61522166,-1498956.162,2487.74858,NLOS
81,26,0,-537074.069,19,19,20,20,16,-0.334,19007.66712,0,0,0,814.1622245,75.29455079,-45112.69146,NLOS
23,38,0,-608275.5448,44,43,44,47,41,-0.07,17779.05852,-8.68E-05,5.27E-13,0,414.2951472,-0.205902357,52.84385736,LOS
1,77,0,-603175.8787,40,39,40,40,19,0.572,18082.17809,-9.35E-06,9.12E-13,0,93.61252324,-0.213989079,11.8809454,LOS
3,46,0,-542372.2027,30,29,30,36,20,0.163,17879.88173,1.94E-04,2.20E-11,0,291.9612827,-0.332738552,48.52195963,NLOS
4,66,0,-602367.3179,46,45,46,48,44,0.601,18511.12356,-6.77E-06,1.11E-13,0,335.6086532,-0.661932956,-25.48382265,LOS
9,8,0,-623956.5806,44,43,44,45,43,0.572,17590.90167,-7.84E-05,-1.17E-11,0,584.6647225,0.167732071,90.93949283,LOS
73,32,0,-963012.8521,34,27,35,35,24,0.863,18526.33747,0,0,0,350.8201148,-1.512543675,362650.5742,NLOS
74,49,0,-589497.4955,34,33,34,46,33,0.621,18405.6095,3.67E-05,1.82E-12,0,230.0926903,-4.889389992,142.5060289,LOS
76,28,0,-602851.5219,25,24,25,25,0,0.408,18243.46974,0,0,0,67.95238651,-4.662835151,2489.244098,NLOS
81,26,0,-555237.4985,19,18,20,20,16,0.711,18931.98553,0,0,0,756.4681777,-57.69404685,-45124.77938,NLOS
23,38,0,-626451.1034,44,43,44,47,41,0.59,17761.13432,-8.68E-05,5.27E-13,0,414.2228753,0.072271954,52.88529709,LOS
1,77,0,-621368.7939,40,39,40,40,19,-0.309,18100.72827,-9.35E-06,9.12E-13,0,93.56783807,0.044685174,10.99169963,LOS
3,46,0,-560567.3447,30,29,30,36,20,-0.399,17898.17853,1.94E-04,2.20E-11,0,292.9861007,-1.024818007,49.86581808,NLOS
4,66,0,-620561.5044,46,45,46,48,44,-0.357,18530.11739,-6.77E-06,1.11E-13,0,336.2969417,0.688288517,-25.10204684,LOS
9,8,0,-642150.2611,44,43,44,45,43,-0.412,17608.8945,-7.84E-05,-1.17E-11,0,584.9716874,-0.306964889,90.81182457,LOS
73,32,0,-981226.4674,27,26,35,35,24,-0.653,18543.68698,0,0,0,349.8822851,-0.937829744,362670.3848,NLOS
74,49,0,-607688.3824,34,33,34,46,33,-0.451,18425.27401,3.67E-05,1.82E-12,0,231.469866,1.377175719,139.5888292,LOS
