 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1,462666.0318992287,79.0,2,-9565991.079927716,46,45,46,-0.32400000000052387,18172.971622798592,-9.345059015496428E-6,9.9903213E-13,0.0,37.04999237507582,-0.03459043428301811,16.0489339530468,LOS,
3,462666.0318992287,48.0,2,-9505165.135695636,42,42,43,-0.4140000000006694,17926.172339506447,1.9360673223895307E-4,2.1936709E-11,0.0,283.95579309016466,-0.10819914937019348,33.521057549864054,NLOS,
4,462666.0318992287,61.0,2,-9565190.589658126,42,41,42,-0.3510000000023865,18595.185898907483,-6.7729722086424925E-6,3.7683268E-13,0.0,385.1873250231147,-0.02385447919368744,-13.34910961985588,NLOS,
9,462666.0318992287,10.0,2,-9586776.830419064,42,41,41,-0.42599999999947613,17642.476187065244,-7.840456103315104E-5,-1.1736034E-11,0.0,567.6005330979824,-0.15327345207333565,98.28156717121601,LOS,
73,462666.0318992287,25.0,0,-9528062.88956321,24,23,24,-0.7789999999986321,18580.92561308667,1.1720308611984347E-4,1.8189894E-12,0.0,370.93267456814647,15.938640508800745,26.038054909557104,NLOS,
74,462666.0318992287,47.0,0,-9552275.863296688,43,42,43,-0.22299999999813735,18513.515910778195,3.671725789899921E-5,1.8189894E-12,0.0,303.5229722633958,-3.8787880912423134,109.96751189604402,LOS,
75,462666.0318992287,34.0,0,-9704353.212077875,16,15,16,-1.981999999999971,17686.713892947882,-4.7077045564947173E-4,-9.094947E-13,0.0,523.2798635475338,-10.292264595627785,46.32724358513951,NLOS,
76,462666.0318992287,26.0,0,-9565098.015170742,20,19,21,1.3630000000011933,18367.461302265525,-6.378762918757446E-6,1.8189894E-12,0.0,157.46836375072598,10.97306365519762,12.257374975830317,NLOS,
23,462666.0318992287,41.0,2,-9589252.518050414,47,38,39,-0.36300000000119326,17825.76563564688,-8.684628881924116E-5,5.8095694E-13,0.0,383.10084569454193,0.6244749613106251,43.20287575945258,LOS,
31,462666.0318992287,40.0,2,-9466063.921773024,30,29,29,-0.29099999999743886,18377.739398933947,3.239160143455489E-4,-1.4374474E-12,0.0,169.001828558743,-8.897792126983404,-1.9528821147978306,NLOS,
1,462667.03196001804,79.0,2,-9584200.295628604,46,45,46,-0.3139999999984866,18172.665284927934,-9.34505801646425E-6,9.9903213E-13,0.0,37.05356464534998,-0.0035722702741622925,15.571242962032557,LOS,
3,462667.03196001804,48.0,2,-9523374.284719676,42,41,43,-0.397000000000844,17925.78276191652,1.9360675417566333E-4,2.1936709E-11,0.0,283.99150389432907,-0.03571080416440964,32.98296666517854,NLOS,
4,462667.03196001804,61.0,2,-9583399.835438676,42,41,42,-0.32699999999749707,18594.868428442627,-6.772971831809795E-6,3.7683268E-13,0.0,385.18562769144773,-0.0016973316669464111,-13.796907480806112,NLOS,
9,462667.03196001804,10.0,2,-9604985.986169305,47,42,42,-0.375,17642.10932507366,-7.840457276918544E-5,-1.1736034E-11,0.0,567.6670451760292,-0.0665120780467987,97.7401076592505,LOS,
73,462667.03196001804,25.0,0,-9546280.200483363,27,19,24,-0.07600000000093132,18572.74432649836,1.1720308793883297E-4,1.8189894E-12,0.0,363.0511804409325,-7.881494127213955,33.65582900494337,NLOS,
74,462667.03196001804,47.0,0,-9570482.06910872,43,42,43,-0.2540000000008149,18516.387939523906,3.67172597179887E-5,1.8189894E-12,0.0,306.6947934627533,3.1718211993575096,106.48017786815763,LOS,
75,462667.03196001804,34.0,0,-9722553.255472343,16,15,16,-1.433999999997468,17684.028344914317,-4.707704565589665E-4,-9.094947E-13,0.0,525.6656191237271,-2.3857555761933327,36.676674015820026,NLOS,
76,462667.03196001804,26.0,0,-9583305.815523237,20,19,21,-0.15399999999863212,18351.17813710496,-6.378761099767954E-6,1.8189894E-12,0.0,141.48499104380608,-15.983372706919909,10.364581409841776,NLOS,
23,462667.03196001804,41.0,2,-9607463.42770427,48,47,47,-0.37700000000040745,17825.395792696625,-8.68462882382842E-5,5.8095694E-13,0.0,382.62271949648857,0.47812619805336,44.419012404978275,LOS,
31,462667.03196001804,40.0,2,-9484273.619540166,30,29,30,-0.3029999999998836,18377.44589431584,3.239160133789763E-4,-1.4173341E-12,0.0,168.25177505984902,-0.7500534988939762,-1.9490961208939552,NLOS,
1,462668.03202074626,79.0,2,-9602409.261433817,46,45,46,-0.14100000000325963,18172.516832008958,-9.345057017432133E-6,9.9903213E-13,0.0,36.88903170824051,0.16453293710947037,15.143448758870363,LOS,
3,462668.03202074626,48.0,2,-9541583.193373267,42,41,42,-0.23999999999796273,17925.53415295109,1.9360677611237226E-4,2.1936709E-11,0.0,283.90798730403185,0.08351659029722214,32.50429780036211,NLOS,
4,462668.03202074626,61.0,2,-9601608.828011665,43,42,42,-0.1540000000022701,18594.70589350909,-6.772971454977119E-6,3.7683268E-13,0.0,385.32827408611774,0.1426463946700096,-14.198120437562466,NLOS,
9,462668.03202074626,10.0,2,-9623194.901263017,46,45,47,-0.2109999999993306,17641.890625804663,-7.840458450521914E-5,-1.1736034E-11,0.0,567.5718294382095,0.09521573781967163,97.25778407976031,LOS,
73,462668.03202074626,25.0,0,-9564505.615879014,20,19,27,-0.19900000000052387,18580.853878095746,1.1720308975782235E-4,1.8189894E-12,0.0,371.46052449196577,8.409344051033258,49.67787105217576,NLOS,
74,462668.03202074626,47.0,0,-9588691.717912719,43,42,43,-0.14600000000064028,18519.97914806381,3.6717261536978084E-5,1.8189894E-12,0.0,310.5857944637537,3.8910010010004044,106.7356282658875,LOS,
75,462668.03202074626,34.0,0,-9740766.657075316,15,14,16,-1.5270000000018626,17697.49496728927,-4.707704574684612E-4,-9.094947E-13,0.0,511.899204287678,13.76641483604908,40.68410541117191,NLOS,
76,462668.03202074626,26.0,0,-9601520.338711169,19,18,20,-1.254000000000815,18358.057536654174,-6.378759280778571E-6,1.8189894E-12,0.0,148.66418305411935,7.1791920103132725,15.494415741413832,NLOS,
23,462668.03202074626,41.0,2,-9625674.064381916,48,47,48,-0.19399999999950523,17825.194053582847,-8.684628765732727E-5,5.8095694E-13,0.0,382.5348863862455,0.08783311024308205,45.66196529939771,LOS,
31,462668.03202074626,40.0,2,-9502483.216910306,30,29,30,-0.14800000000104774,18377.288406327367,3.239160119616422E-4,-1.4173341E-12,0.0,168.530152130872,0.27837707102298737,-1.7460498064756393,NLOS,
1,462669.0320814745,79.0,2,-9620618.000725608,45,45,46,-0.11899999999877764,18172.39789616689,-9.345056018400015E-6,9.9903213E-13,0.0,36.40132136642933,0.4877103418111801,15.088726047426462,LOS,
3,462669.0320814745,48.0,2,-9559791.882089633,42,41,42,-0.19900000000052387,17925.335882216692,1.9360679804908122E-4,2.1936709E-11,0.0,283.5042572468519,0.4037300571799278,32.405276618897915,NLOS,
4,462669.0320814745,61.0,2,-9619817.599636137,43,42,43,-0.14400000000023283,18594.562248859555,-6.772971078144443E-6,3.7683268E-13,0.0,385.80298238247633,0.47470829635858536,-14.22069700062275,NLOS,
9,462669.0320814745,10.0,2,-9641403.60883541,46,45,47,-0.20100000000093132,17641.689238652587,-7.840459624125284E-5,-1.1736034E-11,0.0,567.1437142267823,0.42811521142721176,97.1675240881741,LOS,
73,462669.0320814745,25.0,0,-9582730.490957156,20,19,27,-0.6899999999986903,18580.318661298603,1.1720309157681174E-4,1.8189894E-12,0.0,371.52489261329174,0.0643681213259697,65.75918050855398,NLOS,
74,462669.0320814745,47.0,0,-9606895.100697484,42,42,43,0.21299999999973807,18513.86134511605,3.671726335596747E-5,1.8189894E-12,0.0,305.067576430738,-5.518218033015728,101.32464434579015,LOS,
75,462669.0320814745,34.0,0,-9758966.543999437,15,14,16,-1.4789999999993597,17684.088700275868,-4.707704583779559E-4,-9.094947E-13,0.0,524.7058863900602,-12.806682102382183,31.776442866772413,NLOS,
76,462669.0320814745,26.0,0,-9619730.712447364,19,18,20,-0.489000000001397,18354.06465534866,-6.378757461789187E-6,1.8189894E-12,0.0,145.27088666334748,-3.393296390771866,17.074383251369,NLOS,
23,462669.0320814745,41.0,2,-9643883.948659621,48,47,48,-0.15599999999903957,17825.03744598478,-8.684628707637033E-5,5.8095694E-13,0.0,382.62670651450753,-0.091820128262043,46.75210316479206,LOS,
31,462669.0320814745,40.0,2,-9520691.701981146,30,29,30,-0.07800000000133878,18377.211299363524,3.23916010544308E-4,-1.4173341E-12,0.0,168.14154349267483,-0.3886086381971836,-2.0557178780436516,NLOS,
1,462670.0321422027,79.0,2,-9638826.576438602,45,45,46,-0.052999999999883585,18172.34431553632,-9.345055019367896E-6,9.9903213E-13,0.0,36.45025643333793,-0.048935066908597946,14.870424538850784,LOS,
3,462670.0321422027,48.0,2,-9578000.38319445,42,41,42,-0.147000000000844,17925.1890819557,1.9360681998579024E-4,2.1936709E-11,0.0,283.66778161004186,-0.16352436318993568,32.1186438947916,NLOS,
4,462670.0321422027,61.0,2,-9638026.195901338,43,42,43,-0.07300000000032014,18594.49001001939,-6.772970701311768E-6,3.7683268E-13,0.0,385.7236823067069,-0.07930007576942444,-14.418632831424475,NLOS,
9,462670.0321422027,10.0,2,-9659612.18937876,46,45,46,-0.12700000000040745,17641.562774948776,-7.840460797728656E-5,-1.1736034E-11,0.0,567.2346857823431,-0.09097155556082726,96.95023506507277,LOS,
73,462670.0321422027,25.0,0,-9600923.218003202,22,21,20,-0.37700000000040745,18548.175733227283,1.1720309339580113E-4,1.8189894E-12,0.0,339.381964545697,-32.14292806759477,49.692457873374224,NLOS,
74,462670.0321422027,47.0,0,-9625105.899352968,42,41,43,-0.046999999998661224,18521.42541320622,3.671726517495685E-5,1.8189894E-12,0.0,312.6316445246339,7.564068093895912,103.32953114807606,LOS,
76,462670.0321422027,26.0,0,-9637929.181951284,19,18,19,-0.5089999999981956,18342.31699120626,-6.378755642799801E-6,1.8189894E-12,0.0,133.52322252094746,-11.747664142400026,6.750118486583233,NLOS,
23,462670.0321422027,41.0,2,-9662093.499679323,49,48,48,-0.12099999999918509,17824.917186874896,-8.68462864954134E-5,5.8095694E-13,0.0,382.89896853268147,-0.27226201817393303,47.50898303091526,LOS,
31,462670.0321422027,40.0,2,-9538898.556394152,30,29,30,-0.07699999999749707,18377.13352739811,3.239160091269738E-4,-1.4173341E-12,0.0,166.63498405739665,-1.5065594352781773,-3.9960437826812267,NLOS,
1,462671.03220299206,79.0,2,-9657035.09682082,45,44,45,0.03900000000066939,18172.391181088984,-9.345054020335717E-6,9.9903213E-13,0.0,36.39094078540802,0.059315647929906845,14.596792258322239,LOS,
3,462671.03220299206,48.0,2,-9596208.818723738,42,41,42,-0.05400000000008731,17925.14144917205,1.9360684192250055E-4,2.1936709E-11,0.0,283.7092823050916,-0.041500695049762726,31.766435638070107,NLOS,
4,462671.03220299206,61.0,2,-9656234.758521155,43,42,43,0.02600000000165892,18594.52195962146,-6.772970324479069E-6,3.7683268E-13,0.0,385.78610672801733,0.062424421310424805,-14.650214046239853,NLOS,
9,462671.03220299206,10.0,2,-9677820.71588713,46,45,46,-0.03499999999985448,17641.534548684955,-7.8404619713321E-5,-1.1736034E-11,0.0,567.2526918016374,-0.018006019294261932,96.67891105264425,LOS,
73,462671.03220299206,25.0,0,-9619120.141018018,22,21,22,0.9049999999988358,18552.376830819994,1.1720309521479062E-4,1.8189894E-12,0.0,343.58306213468313,4.201097588986158,37.821704003959894,NLOS,
74,462671.03220299206,47.0,0,-9643312.351769194,42,41,42,-0.15899999999965075,18517.227371226996,3.671726699394635E-5,1.8189894E-12,0.0,308.4336025416851,-4.19804198294878,100.9881786890328,LOS,
76,462671.03220299206,26.0,0,-9656127.074552197,19,18,19,-0.2540000000008149,18341.896662779152,-6.378753823810303E-6,1.8189894E-12,0.0,133.1028940975666,-0.42032842338085175,-4.1510492824018,NLOS,
23,462671.03220299206,41.0,2,-9680302.91002018,49,48,49,-0.027000000001862645,17824.898989144713,-8.684628591445643E-5,5.8095694E-13,0.0,382.97867357358336,-0.07970504090189934,48.125184051692486,LOS,
31,462671.03220299206,40.0,2,-9557106.127544846,30,29,30,0.06699999999909778,18377.20989349112,3.239160077096395E-4,-1.4173341E-12,0.0,167.47582298144698,0.8408389240503311,-5.2196319960057735,NLOS,
1,462672.0322637203,79.0,2,-9675243.364448328,45,44,45,-0.14800000000104774,18172.234314043075,-9.345053021303596E-6,9.9903213E-13,0.0,36.22924733161926,0.16169345378875732,14.370197717100382,LOS,
3,462672.0322637203,48.0,2,-9614416.97928214,42,41,42,-0.23300000000017462,17924.902299474925,1.9360686385920954E-4,2.1936709E-11,0.0,283.66034635156393,0.04893595352768898,31.43904895707965,NLOS,
4,462672.0322637203,61.0,2,-9674443.079598974,43,42,43,-0.1569999999992433,18594.35914587602,-6.772969947646393E-6,3.7683268E-13,0.0,385.9403669089079,0.15426018089056015,-14.823544804006815,NLOS,
9,462672.0322637203,10.0,2,-9696028.98523949,46,45,46,-0.2249999999985448,17641.302719265223,-7.840463144935474E-5,-1.1736034E-11,0.0,567.173951048404,0.07874075323343277,96.45022349432111,LOS,
73,462672.0322637203,25.0,0,-9637314.912230112,22,21,22,-0.4789999999993597,18550.23011662811,1.1720309703378E-4,1.8189894E-12,0.0,341.7361404001713,-1.8469217345118523,24.09893986955285,NLOS,
74,462672.0322637203,47.0,0,-9661517.87741344,42,41,42,-0.10300000000279397,18516.448739480227,3.671726881293574E-5,1.8189894E-12,0.0,307.9547632485628,-0.47883929312229156,98.01984670385718,LOS,
76,462672.0322637203,26.0,0,-9674334.665388037,19,18,19,0.01900000000023283,18351.751452311873,-6.378752004820915E-6,1.8189894E-12,0.0,143.2574760839343,10.154581986367702,-5.054189670830965,NLOS,
23,462672.0322637203,41.0,2,-9698511.970138595,49,48,49,-0.1819999999970605,17824.707717090845,-8.684628533349949E-5,5.8095694E-13,0.0,382.96808168292046,0.010591890662908554,48.690955083817244,LOS,
31,462672.0322637203,40.0,2,-9575313.828369692,30,29,30,-0.147000000000844,18377.055203467607,3.239160062923053E-4,-1.4173341E-12,0.0,168.02936275675893,0.5535397753119469,-6.013753604143858,NLOS,
1,462673.0323244485,79.0,2,-9693451.576768383,45,44,45,0.06000000000130967,18172.296638011932,-9.345052022271474E-6,9.9903213E-13,0.0,35.87010399252176,0.35914333909749985,14.388088189065456,LOS,
3,462673.0323244485,48.0,2,-9632625.103212245,42,41,42,-0.03900000000066939,17924.862828485668,1.9360688579591858E-4,2.1936709E-11,0.0,283.3730804771185,0.2872658744454384,31.374826431274414,NLOS,
4,462673.0323244485,61.0,2,-9692651.341719232,43,42,43,0.027999999998428393,18594.385245542973,-6.7729695708137155E-6,3.7683268E-13,0.0,386.277222558856,0.3368556499481201,-14.756040658801794,NLOS,
9,462673.0323244485,10.0,2,-9714237.167838074,46,45,46,-0.031000000002677552,17641.27192363888,-7.840464318538847E-5,-1.1736034E-11,0.0,566.9248372390866,0.2491138093173504,96.4345746152103,LOS,
73,462673.0323244485,25.0,0,-9655514.173579011,21,21,22,0.7250000000021828,18554.725367147475,1.1720309885276939E-4,1.8189894E-12,0.0,346.5311833806336,4.795042980462313,15.16610500216484,NLOS,
74,462673.0323244485,47.0,0,-9679725.810854353,42,41,42,0.3790000000008149,18519.004676569253,3.671727063192513E-5,1.8189894E-12,0.0,310.8104928024113,2.855729553848505,97.75910384953022,LOS,
76,462673.0323244485,26.0,0,-9692541.027701668,19,19,19,-0.5600000000013097,18350.67949127406,-6.378750185831526E-6,1.8189894E-12,0.0,142.48530750349164,-0.772168580442667,-6.886059809476137,NLOS,
23,462673.0323244485,41.0,2,-9716720.853306942,49,48,49,-0.0020000000004074536,17824.706232972443,-8.684628475254254E-5,5.8095694E-13,0.0,382.78424003720284,0.18384164571762085,49.37956850975752,LOS,
31,462673.0323244485,40.0,2,-9593521.207314204,29,25,30,0.0750000000007276,18377.12888559699,3.2391600487497113E-4,-1.4173341E-12,0.0,168.13135105744004,0.1019883006811142,-6.8299630880355835,NLOS,
1,462674.03238517675,79.0,2,-9711659.812098633,45,44,45,0.1430000000000291,18172.43858536333,-9.345051023239354E-6,9.9903213E-13,0.0,35.73243061453104,0.13767337799072266,14.428988851606846,LOS,
3,462674.03238517675,48.0,2,-9650833.27731859,42,41,42,0.059000000001105946,17924.92205992341,1.9360690773262762E-4,2.1936709E-11,0.0,283.2987975180149,0.07428295910358429,31.360780149698257,NLOS,
4,462674.03238517675,61.0,2,-9710859.6354253,43,42,43,0.13100000000122236,18594.517484601587,-6.772969193981038E-6,3.7683268E-13,0.0,386.4048160389066,0.1275934800505638,-14.65695071220398,NLOS,
8,462674.03238517675,46.0,0,-9704268.630811084,31,30,31,0.04099999999743886,17928.64784289524,1.716055228028126E-5,4.7363823E-12,0.0,285.8247819393873,13.31046886369586,569.4276664406061,NLOS,
9,462674.03238517675,10.0,2,-9732445.356326569,46,45,46,0.07400000000052387,17641.34492728114,-7.84046549214222E-5,-1.1736034E-11,0.0,566.8828659914434,0.041971247643232346,96.42481565102935,LOS,
73,462674.03238517675,25.0,0,-9673723.229136657,21,20,22,-0.0790000000015425,18564.52469263971,1.1720310067175878E-4,1.8189894E-12,0.0,356.33050887286663,9.799325492233038,16.027478881180286,NLOS,
74,462674.03238517675,47.0,0,-9697930.533631384,42,41,42,-0.17799999999988358,18515.94213390723,3.671727245091452E-5,1.8189894E-12,0.0,307.7479501403868,-3.062542662024498,94.28769711405039,LOS,
76,462674.03238517675,26.0,0,-9710748.355825696,20,19,19,-0.15499999999883585,18351.801860406995,-6.378748366842136E-6,1.8189894E-12,0.0,143.60767664015293,1.1223691366612911,-7.7521195486187935,NLOS,
17,462674.03238517675,14.0,2,-9755261.696109068,34,33,34,0.06599999999889405,18015.53510288149,-1.544751480539778E-4,1.7220139E-12,0.0,233.37950894236565,3.5734933763742447,107.40448066219687,NLOS,
23,462674.03238517675,41.0,2,-9734929.667528432,49,48,49,0.0959999999977299,17824.801604032516,-8.684628417158561E-5,5.8095694E-13,0.0,382.7921863682568,-0.007946331053972244,49.99923508241773,LOS,
31,462674.03238517675,40.0,0,-9611696.997440182,24,23,30,0.510999999998603,18377.640804167837,3.23916003457637E-4,-1.4173341E-12,0.0,136.6666011735797,-31.46474988386035,-39.23499110341072,NLOS,
1,462675.032445905,79.0,2,-9729867.997573934,45,44,45,0.056000000000494765,18172.49466477707,-9.345050024207232E-6,9.9903213E-13,0.0,35.36782506853342,0.36460554599761963,14.719827026128769,LOS,
3,462675.032445905,48.0,2,-9669041.437469374,42,41,42,-0.037000000000261934,17924.88464539498,1.9360692966933666E-4,2.1936709E-11,0.0,282.98884895443916,0.30994856357574463,31.632570762187243,NLOS,
4,462675.032445905,61.0,2,-9729067.874870092,43,42,43,0.03299999999944703,18594.550484329462,-6.772968817148361E-6,3.7683268E-13,0.0,386.7463418915868,0.3415258526802063,-14.312329571694136,NLOS,
8,462675.032445905,46.0,2,-9722479.123185743,31,30,31,0.03200000000288128,17928.67890177667,1.716055701666352E-5,4.7363823E-12,0.0,276.74094508215785,9.083836857229471,572.0265244022012,NLOS,
