PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1,79,2,-9930154.371,44,43,44,46,0,0.016,18173.77763,-9.35E-06,9.99E-13,0,28.14445433,7.979018014,13.95270649,LOS
3,48,2,-9869339.317,38,37,38,43,0,-0.072,17925.17863,1.94E-04,2.19E-11,0,272.5509705,6.17763757,42.44053437,NLOS
4,61,2,-9929339.274,39,38,39,43,0,-0.006,18595.62766,-6.77E-06,3.77E-13,0,390.4706026,3.96080973,-30.05576508,NLOS
9,10,2,-9950937.144,45,45,46,47,0,-0.07,17641.73477,-7.84E-05,-1.17E-11,0,564.1870627,3.136408292,93.13118916,LOS
73,25,0,-9892277.206,28,27,29,39,0,-0.055,18536.20166,1.17E-04,1.82E-12,0,335.8020792,-79.26311605,74.9715425,NLOS
74,47,0,-9916460.16,40,39,41,48,0,-0.006,18548.41253,3.67E-05,1.82E-12,0,348.0129528,49.46770393,128.8816924,LOS
23,41,2,-9953436.012,52,51,52,52,0,-0.043,17825.4891,-8.68E-05,5.81E-13,0,374.9108541,6.398590576,61.30719818,LOS
31,40,0,-9830190.606,28,27,27,30,0,-0.043,18378.70947,3.24E-04,-1.42E-12,0,179.4506158,1.071303315,-40.67056122,NLOS
1,79,2,-9948360.411,44,43,44,46,0,0.082,18173.85239,-9.35E-06,9.99E-13,0,36.13534873,-7.9908944,12.09738685,LOS
3,48,2,-9887552.577,38,37,38,43,0,-0.02,17925.15144,1.94E-04,2.19E-11,0,277.5993014,-5.048330866,47.81158155,NLOS
4,61,2,-9947549.5,39,38,39,43,0,0.067,18595.68664,-6.77E-06,3.77E-13,0,389.8849173,-0.585685316,-27.72532727,NLOS
9,10,2,-9969139.571,45,44,46,47,0,0.006,17641.73152,-7.84E-05,-1.17E-11,0,571.8754091,-7.688346393,87.6601121,LOS
73,25,0,-9910452.249,29,28,29,39,0,0.063,18530.58099,1.17E-04,1.82E-12,0,322.6865974,-13.11548184,42.12042883,NLOS
74,47,0,-9934676.632,41,40,40,48,0,0.235,18529.61738,3.67E-05,1.82E-12,0,321.7229877,-26.28996514,137.4594647,LOS
23,41,2,-9971643.384,52,51,52,52,0,0.032,17825.5126,-8.68E-05,5.81E-13,0,383.1432899,-8.232435774,60.7840894,LOS
31,40,2,-9848401.22,28,27,28,30,0,0.121,18378.82191,3.24E-04,-1.42E-12,0,173.4002128,-6.050402991,-37.95213326,NLOS
1,79,2,-9966568.607,44,43,44,46,0,0.18,18174.03132,-9.35E-06,9.99E-13,0,34.16310617,1.972242568,12.09957922,LOS
3,48,2,-9905761.13,38,37,38,43,0,0.075,17925.22649,1.94E-04,2.19E-11,0,282.5810984,-4.98179701,48.17664935,NLOS
4,61,2,-9965755.789,39,38,39,43,0,0.156,18595.84248,-6.77E-06,3.77E-13,0,385.7450434,-4.139873825,-29.63057862,NLOS
9,10,2,-9987346.819,45,44,45,47,0,0.098,17641.8309,-7.84E-05,-1.17E-11,0,567.3187639,4.556645196,86.7094845,LOS
73,25,0,-9928640.631,29,28,29,39,0,-0.106,18543.92529,1.17E-04,1.82E-12,0,335.731106,13.04450857,22.30867212,NLOS
74,47,0,-9952879.152,41,40,41,48,0,0.152,18515.81324,3.67E-05,1.82E-12,0,307.6190515,-14.1039362,131.7854566,LOS
23,41,2,-9989853.481,52,51,52,52,0,0.121,17825.63504,-8.68E-05,5.81E-13,0,380.656696,2.486593854,62.68655036,LOS
31,40,2,-9866611.685,28,27,28,30,0,0.166,18378.98765,3.24E-04,-1.42E-12,0,173.0758774,-0.324335434,-35.6819997,NLOS
1,79,2,-9984777.824,44,43,44,46,0,-0.008,18174.02488,-9.35E-06,9.99E-13,0,32.72806434,1.435041822,13.42207909,LOS
3,48,2,-9923963.489,38,37,38,43,0,-0.08,17925.14613,1.94E-04,2.19E-11,0,288.4507022,-5.869603738,42.64793362,NLOS
4,61,2,-9983961.775,39,39,39,43,0,-0.018,18595.82518,-6.77E-06,3.77E-13,0,385.8372552,0.092211753,-31.5394306,NLOS
9,10,2,-1.00E+07,45,44,45,47,0,-0.078,17641.7525,-7.84E-05,-1.17E-11,0,566.7168019,0.601962008,86.32463173,LOS
73,25,0,-9946834.969,29,28,29,39,0,0.332,18549.88548,1.17E-04,1.82E-12,0,341.9910887,6.259982776,8.751734164,NLOS
74,47,0,-9971089.295,41,40,41,48,0,0.039,18523.58294,3.67E-05,1.82E-12,0,315.6885511,8.069499619,134.0331149,LOS
23,41,2,-1.00E+07,52,51,52,52,0,-0.055,17825.58008,-8.68E-05,5.81E-13,0,379.8410161,0.815679882,65.34367625,LOS
31,40,2,-9884821.085,29,28,28,30,0,0.01,18378.99801,3.24E-04,-1.42E-12,0,172.4346216,-0.641255774,-34.17707775,NLOS
1,79,2,-1.00E+07,44,43,44,46,0,-0.104,18173.92044,-9.35E-06,9.99E-13,0,34.16448235,-1.436418004,13.19342203,LOS
3,48,2,-9942168.869,38,37,38,43,0,-0.19,17924.95569,1.94E-04,2.19E-11,0,285.4063437,3.044358462,40.13939187,NLOS
4,61,2,-1.00E+07,40,39,39,43,0,-0.121,18595.70402,-6.77E-06,3.77E-13,0,386.2869402,0.449685067,-33.09439697,NLOS
9,10,2,-1.00E+07,45,44,45,47,0,-0.186,17641.56656,-7.84E-05,-1.17E-11,0,568.425001,-1.70819911,84.1953867,LOS
73,25,0,-9965051.14,29,29,29,39,0,-1.049,18571.72455,1.17E-04,1.82E-12,0,363.8301624,21.83907371,17.02870261,NLOS
74,47,0,-9989317.181,41,40,41,48,0,-0.147,18541.47552,3.67E-05,1.82E-12,0,333.5811297,17.89257862,154.0255379,LOS
75,34,0,-1.01E+07,4,0,0,4,0,0,0,-4.71E-04,-9.09E-13,0,2.13E+07,2.13E+07,-8.368838184,NLOS
23,41,2,-1.00E+07,52,51,52,52,0,-0.156,17825.42233,-8.68E-05,5.81E-13,0,381.3307419,-1.489725742,66.45006086,LOS
31,40,2,-9903021.335,29,28,29,30,0,-0.084,18378.9146,3.24E-04,-1.42E-12,0,163.4079533,-9.026668351,-41.82277247,NLOS
1,79,2,-1.00E+07,44,43,44,46,0,-0.228,18173.69285,-9.35E-06,9.99E-13,0.0045347,32.48924636,1.675235987,14.52525741,LOS
3,49,2,-9960369.715,38,37,38,43,0,-0.324,17924.63226,1.94E-04,2.19E-11,-0.0049858,289.9159772,-4.509633474,33.09702741,NLOS
4,61,2,-1.00E+07,40,39,40,43,0,-0.25,18595.45526,-6.77E-06,3.77E-13,0.0185847,384.8964902,-1.390450008,-36.13559975,NLOS
9,11,2,-1.00E+07,45,44,45,47,0,-0.305,17641.26118,-7.84E-05,-1.17E-11,-0.031297,568.3498138,0.07518724,82.1051296,LOS
73,24,0,-9983258.705,30,29,29,39,0,-0.127,18563.12309,1.17E-04,1.82E-12,0.037267,355.2286944,-8.601468001,16.6990326,NLOS
74,46,0,-1.00E+07,41,40,41,48,0,-0.242,18508.9064,3.67E-05,1.82E-12,0.0210991,301.012005,-32.5691247,141.3010415,LOS
75,34,0,-1.02E+07,5,4,0,5,4,0,0,-4.71E-04,-9.09E-13,0,2.13E+07,2.13E+07,-8.853652012,NLOS
76,26,0,-1.00E+07,10,0,0,10,0,0,0,-6.38E-06,1.82E-12,0,2.20E+07,2.20E+07,230.7193884,NLOS
23,42,2,-1.00E+07,52,52,52,52,0,-0.285,17825.13832,-8.68E-05,5.85E-13,-0.0131111,380.4734116,0.857330289,68.34806887,LOS
31,40,2,-9921226,29,28,29,30,0,-0.217,18378.69645,3.24E-04,-1.42E-12,0.0138578,167.9468536,4.538900316,-45.05350762,NLOS
1,79,2,-1.00E+07,43,43,44,46,0,-0.135,18173.55718,-9.35E-06,9.99E-13,0,32.80411302,-0.314866662,15.42747799,LOS
3,49,2,-9978573.786,37,32,38,43,0,-0.223,17924.41048,1.94E-04,2.19E-11,0,286.0679414,3.84803576,29.87850484,NLOS
4,61,2,-1.00E+07,40,39,40,43,0,-0.156,18595.29895,-6.77E-06,3.77E-13,0,388.1796858,3.283195555,-35.98938049,NLOS
9,11,2,-1.01E+07,45,44,45,47,0,-0.215,17641.04752,-7.84E-05,-1.17E-11,0,565.4179341,2.931879707,82.91054708,LOS
73,24,0,-1.00E+07,30,29,30,39,0,0.51,18585.42042,1.17E-04,1.82E-12,0,378.1256137,22.89691927,39.26311789,NLOS
74,46,0,-1.00E+07,41,40,41,48,0,0.018,18533.38034,3.67E-05,1.82E-12,0,326.085533,25.07352792,153.5033191,LOS
75,34,0,-1.02E+07,4,4,5,5,4,-0.291,17693.72995,-4.71E-04,-9.09E-13,0,513.565675,0.326768946,-9.121981405,NLOS
76,26,0,-1.00E+07,11,10,0,11,10,0,0,-6.38E-06,1.82E-12,0,2.20E+07,2.20E+07,230.9892935,NLOS
23,42,2,-1.01E+07,53,52,52,53,0,-0.188,17824.95105,-8.68E-05,5.85E-13,0,381.8154615,-1.342049964,68.84731801,LOS
31,40,2,-9939433.494,29,28,29,30,0,-0.129,18378.56909,3.24E-04,-1.42E-12,0,171.4996456,3.552791987,-44.85538401,NLOS
1,79,2,-1.01E+07,43,42,44,46,0,0.436,18173.99253,-9.35E-06,9.99E-13,0,32.87977412,-0.075661097,16.13928472,LOS
3,49,2,-9996777.264,33,32,38,43,0,0.358,17924.76661,1.94E-04,2.19E-11,0,286.6355357,-0.567594245,26.06818924,NLOS
4,61,2,-1.01E+07,40,39,40,43,0,0.424,18595.72154,-6.77E-06,3.77E-13,0,388.3982452,0.218559366,-35.72036209,NLOS
9,11,2,-1.01E+07,44,43,45,47,0,0.36,17641.40604,-7.84E-05,-1.17E-11,0,565.2846296,0.13330451,83.81305753,LOS
73,24,0,-1.00E+07,34,30,30,39,0,0.24,18569.58899,1.17E-04,1.82E-12,0,362.2941854,-15.83142833,45.98850084,NLOS
74,46,0,-1.00E+07,41,40,41,48,0,0.701,18510.12786,3.67E-05,1.82E-12,0,302.8330532,-23.25247979,142.3043544,LOS
75,34,0,-1.02E+07,4,4,5,5,4,-0.934,17693.06117,-4.71E-04,-9.09E-13,0,514.2344543,-0.668779321,-10.16712299,NLOS
76,26,0,-1.01E+07,18,17,11,18,10,1.248,18116.96267,-6.38E-06,1.82E-12,0,90.33213777,-237.888195,-6.788776126,NLOS
23,42,2,-1.01E+07,53,52,53,53,0,0.383,17825.33299,-8.68E-05,5.85E-13,0,381.0295416,0.785919964,70.07144759,LOS
31,40,2,-9957643.467,30,29,29,30,0,0.43,18378.99798,3.24E-04,-1.42E-12,0,174.1030266,2.603381053,-42.17780489,NLOS
1,79,2,-1.01E+07,43,42,43,46,0,0.179,18174.17282,-9.35E-06,9.99E-13,0,32.99531177,-0.115537651,16.62079639,LOS
3,49,2,-1.00E+07,33,32,37,43,0,0.068,17924.83601,1.94E-04,2.19E-11,0,286.6612741,-0.025738478,22.20793099,NLOS
4,61,2,-1.01E+07,40,39,40,43,0,0.156,18595.87823,-6.77E-06,3.77E-13,0,388.2845644,-0.113680713,-35.66077065,NLOS
9,11,2,-1.01E+07,44,43,45,47,0,0.092,17641.49796,-7.84E-05,-1.17E-11,0,565.5234794,-0.238849867,84.44049918,LOS
73,24,0,-1.00E+07,34,33,34,39,0,-0.273,18540.05233,1.17E-04,1.82E-12,0,332.7575283,-29.53665711,23.17208595,NLOS
74,46,0,-1.01E+07,40,40,41,48,0,-0.174,18522.54218,3.67E-05,1.82E-12,0,315.247372,12.41431883,143.3719981,LOS
75,34,0,-1.02E+07,12,11,4,12,4,0.504,17632.82651,-4.71E-04,-9.09E-13,0,574.4691127,-60.23465837,-71.55609481,NLOS
76,26,0,-1.01E+07,19,18,18,19,10,-0.127,18321.45669,-6.38E-06,1.82E-12,0,114.1618843,204.4940221,-40.22929669,NLOS
