PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1.0000000000,79.0000000000,2.0000000000,-9930154.3710000000,44.0000000000,43.0000000000,44.0000000000,46.0000000000,0.0000000000,0.0160000000,18173.7776300000,-0.0000093500,0.0000000000,0.0000000000,28.1444543300,7.9790180140,13.9527064900,LOS
3.0000000000,48.0000000000,2.0000000000,-9869339.3170000000,38.0000000000,37.0000000000,38.0000000000,43.0000000000,0.0000000000,-0.0720000000,17925.1786300000,0.0001940000,0.0000000000,0.0000000000,272.5509705000,6.1776375700,42.4405343700,NLOS
4.0000000000,61.0000000000,2.0000000000,-9929339.2740000000,39.0000000000,38.0000000000,39.0000000000,43.0000000000,0.0000000000,-0.0060000000,18595.6276599999,-0.0000067700,0.0000000000,0.0000000000,390.4706026000,3.9608097300,-30.0557650800,NLOS
9.0000000000,10.0000000000,2.0000000000,-9950937.1440000000,45.0000000000,45.0000000000,46.0000000000,47.0000000000,0.0000000000,-0.0700000000,17641.7347700000,-0.0000784000,0.0000000000,0.0000000000,564.1870627000,3.1364082920,93.1311891600,LOS
73.0000000000,25.0000000000,0.0000000000,-9892277.2060000000,28.0000000000,27.0000000000,29.0000000000,39.0000000000,0.0000000000,-0.0550000000,18536.2016600000,0.0001170000,0.0000000000,0.0000000000,335.8020792000,-79.2631160500,74.9715425000,NLOS
74.0000000000,47.0000000000,0.0000000000,-9916460.1600000000,40.0000000000,39.0000000000,41.0000000000,48.0000000000,0.0000000000,-0.0060000000,18548.4125300000,0.0000367000,0.0000000000,0.0000000000,348.0129528000,49.4677039300,128.8816924000,LOS
23.0000000000,41.0000000000,2.0000000000,-9953436.0120000000,52.0000000000,51.0000000000,52.0000000000,52.0000000000,0.0000000000,-0.0430000000,17825.4891000000,-0.0000868000,0.0000000000,0.0000000000,374.9108541000,6.3985905760,61.3071981800,LOS
31.0000000000,40.0000000000,0.0000000000,-9830190.6060000000,28.0000000000,27.0000000000,27.0000000000,30.0000000000,0.0000000000,-0.0430000000,18378.7094700000,0.0003240000,0.0000000000,0.0000000000,179.4506158000,1.0713033150,-40.6705612200,NLOS
1.0000000000,79.0000000000,2.0000000000,-9948360.4110000000,44.0000000000,43.0000000000,44.0000000000,46.0000000000,0.0000000000,0.0820000000,18173.8523900000,-0.0000093500,0.0000000000,0.0000000000,36.1353487300,-7.9908944000,12.0973868500,LOS
3.0000000000,48.0000000000,2.0000000000,-9887552.5770000000,38.0000000000,37.0000000000,38.0000000000,43.0000000000,0.0000000000,-0.0200000000,17925.1514400000,0.0001940000,0.0000000000,0.0000000000,277.5993014000,-5.0483308660,47.8115815500,NLOS
4.0000000000,61.0000000000,2.0000000000,-9947549.5000000000,39.0000000000,38.0000000000,39.0000000000,43.0000000000,0.0000000000,0.0670000000,18595.6866400000,-0.0000067700,0.0000000000,0.0000000000,389.8849173000,-0.5856853160,-27.7253272700,NLOS
9.0000000000,10.0000000000,2.0000000000,-9969139.5710000000,45.0000000000,44.0000000000,46.0000000000,47.0000000000,0.0000000000,0.0060000000,17641.7315200000,-0.0000784000,0.0000000000,0.0000000000,571.8754091000,-7.6883463930,87.6601121000,LOS
73.0000000000,25.0000000000,0.0000000000,-9910452.2490000000,29.0000000000,28.0000000000,29.0000000000,39.0000000000,0.0000000000,0.0630000000,18530.5809900000,0.0001170000,0.0000000000,0.0000000000,322.6865974000,-13.1154818400,42.1204288300,NLOS
74.0000000000,47.0000000000,0.0000000000,-9934676.6320000000,41.0000000000,40.0000000000,40.0000000000,48.0000000000,0.0000000000,0.2350000000,18529.6173800000,0.0000367000,0.0000000000,0.0000000000,321.7229877000,-26.2899651400,137.4594647000,LOS
23.0000000000,41.0000000000,2.0000000000,-9971643.3840000000,52.0000000000,51.0000000000,52.0000000000,52.0000000000,0.0000000000,0.0320000000,17825.5126000000,-0.0000868000,0.0000000000,0.0000000000,383.1432899000,-8.2324357740,60.7840894000,LOS
31.0000000000,40.0000000000,2.0000000000,-9848401.2200000000,28.0000000000,27.0000000000,28.0000000000,30.0000000000,0.0000000000,0.1210000000,18378.8219100000,0.0003240000,0.0000000000,0.0000000000,173.4002128000,-6.0504029910,-37.9521332600,NLOS
1.0000000000,79.0000000000,2.0000000000,-9966568.6070000000,44.0000000000,43.0000000000,44.0000000000,46.0000000000,0.0000000000,0.1800000000,18174.0313200000,-0.0000093500,0.0000000000,0.0000000000,34.1631061700,1.9722425680,12.0995792200,LOS
3.0000000000,48.0000000000,2.0000000000,-9905761.1300000000,38.0000000000,37.0000000000,38.0000000000,43.0000000000,0.0000000000,0.0750000000,17925.2264900000,0.0001940000,0.0000000000,0.0000000000,282.5810984000,-4.9817970100,48.1766493500,NLOS
4.0000000000,61.0000000000,2.0000000000,-9965755.7890000000,39.0000000000,38.0000000000,39.0000000000,43.0000000000,0.0000000000,0.1560000000,18595.8424800000,-0.0000067700,0.0000000000,0.0000000000,385.7450434000,-4.1398738250,-29.6305786200,NLOS
9.0000000000,10.0000000000,2.0000000000,-9987346.8190000000,45.0000000000,44.0000000000,45.0000000000,47.0000000000,0.0000000000,0.0980000000,17641.8309000000,-0.0000784000,0.0000000000,0.0000000000,567.3187639000,4.5566451960,86.7094845000,LOS
73.0000000000,25.0000000000,0.0000000000,-9928640.6310000000,29.0000000000,28.0000000000,29.0000000000,39.0000000000,0.0000000000,-0.1060000000,18543.9252900000,0.0001170000,0.0000000000,0.0000000000,335.7311060000,13.0445085700,22.3086721200,NLOS
74.0000000000,47.0000000000,0.0000000000,-9952879.1520000000,41.0000000000,40.0000000000,41.0000000000,48.0000000000,0.0000000000,0.1520000000,18515.8132400000,0.0000367000,0.0000000000,0.0000000000,307.6190515000,-14.1039362000,131.7854566000,LOS
