 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32,463258.9866328463,55.0,0,-233163.21745736524,36,35,36,0.08400000000256114,18378.230642873794,-2.2942847069364037E-4,8.8942569E-12,0.0,177.73221906647086,-0.9448411762714386,670.7274509221315,NLOS,
1,463258.9866328463,79.0,0,-166529.80921927467,49,48,49,0.15199999999822467,18233.927116066217,-9.34443569924935E-6,1.0992308E-12,0.0,34.11501272022724,-0.7051489353179932,16.85303036123514,NLOS,
3,463258.9866328463,52.0,0,-105691.17064994574,38,38,38,-0.024000000001251465,17933.43945775181,1.9361973265912916E-4,2.1911219E-11,0.0,266.64569764211774,-0.9001204445958138,25.34137911349535,LOS,
4,463258.9866328463,56.0,0,-165710.22928224877,49,48,49,0.1499999999978172,18642.45918014273,-6.772654898216094E-6,6.8374863E-13,0.0,442.69563764333725,-0.7042983546853065,-31.726418886333704,LOS,
70,463258.9866328463,12.0,0,-125355.48989576474,35,34,35,0.6330000000016298,17404.758894268423,1.2816278734174716E-4,4.5474735E-12,0.0,795.0402827002108,-1.674390733242035,66.16209506615996,LOS,
9,463258.9866328463,14.0,0,-188312.53245422244,32,31,32,0.07099999999991269,17657.033645179123,-7.789276258583146E-5,-1.0833621E-11,0.0,540.5566226579249,-0.17707744985818863,1249.3048561923206,NLOS,
73,463258.9866328463,22.0,0,-128599.51888925955,29,28,29,-0.23500000000058208,18576.9780298993,1.1720461586462397E-4,1.8189894E-12,0.0,377.17803495004773,55.120325934141874,25.01392624527216,NLOS,
74,463258.9866328463,44.0,0,-152751.97684763372,42,42,42,-0.06999999999970896,18597.04208899662,3.67187876437797E-5,1.8189894E-12,0.0,397.24209405109286,0.017564039677381516,48.427608128637075,NLOS,
11,463258.9866328463,54.0,0,-330385.6581647657,44,43,43,0.13299999999799184,18637.328435525298,-5.560098541127536E-4,-2.3859768E-12,0.0,437.57475044205785,-0.7132276184856892,-13.46751393377781,LOS,
31,463258.9866328463,38.0,0,-66616.54828030616,34,34,34,0.3360000000029686,18442.28935258463,3.2391524365609577E-4,-1.1857323E-12,0.0,241.94195383042097,-0.5147111862897873,12.330517623573542,NLOS,
32,463259.9866908864,55.0,0,-251362.99561118335,36,35,36,-0.09400000000096043,18378.297591477633,-2.2942846179940755E-4,8.8942569E-12,0.0,178.01100504770875,0.27878598123788834,670.7077309004962,NLOS,
1,463259.9866908864,79.0,0,-184729.9468746297,48,48,49,0.04100000000107684,18234.08250642568,-9.344434600021441E-6,1.0992308E-12,0.0,34.25367905944586,0.13866633921861649,17.19047499075532,NLOS,
3,463259.9866908864,52.0,0,-123891.33783157915,38,38,38,0.11000000000058208,17933.507945593446,1.9361975457029038E-4,2.1911219E-11,0.0,266.61493177711964,0.030765864998102188,25.714589286595583,LOS,
4,463259.9866908864,56.0,0,-183910.64664391056,49,48,49,-0.018999999996594852,18642.586379647255,-6.772654214469287E-6,6.8374863E-13,0.0,442.82581029832363,0.13017265498638153,-31.109392508864403,LOS,
70,463259.9866908864,12.0,0,-143554.5038220957,35,34,35,-0.5900000000001455,17404.43371879682,1.2816279188920853E-4,4.5474735E-12,0.0,795.36545817554,-0.3251754753291607,65.37684442475438,LOS,
9,463259.9866908864,14.0,0,-206515.20559665188,32,31,32,-0.13100000000122236,17657.122966561466,-7.78927734194231E-5,-1.0833621E-11,0.0,541.7087829038501,-1.152160245925188,1252.1742105297744,NLOS,
73,463259.9866908864,22.0,0,-146817.7022520192,29,28,29,0.12299999999959255,18577.95990016684,1.1720461768360852E-4,1.8189894E-12,0.0,378.15990522131324,0.9818702712655067,43.39729405939579,NLOS,
74,463259.9866908864,44.0,0,-170952.25301641226,42,42,42,0.24399999999877764,18595.598471984267,3.6718789462764255E-5,1.8189894E-12,0.0,395.7984770387411,-1.4436170123517513,48.903781961649656,NLOS,
11,463259.9866908864,54.0,0,-348586.228417702,44,43,44,0.04500000000189175,18637.45252150297,-5.560098564987243E-4,-2.3859768E-12,0.0,437.6966065391898,0.12185609713196754,-12.698516555130482,LOS,
31,463259.9866908864,38.0,0,-84816.41086034104,34,33,34,-0.20500000000174623,18442.436834566295,3.239152424703666E-4,-1.1857323E-12,0.0,241.9850034415722,0.043049611151218414,12.39220191910863,NLOS,
32,463260.98674892646,55.0,0,-269562.7486362681,36,35,36,-0.026999999998224666,18378.199220295995,-2.2942845290517473E-4,8.8942569E-12,0.0,178.18504932522774,0.17404427751898766,670.6628821454942,NLOS,
1,463260.98674892646,79.0,0,-202929.1342237331,48,47,49,0.011999999998806743,18234.05510158837,-9.344433500793532E-6,1.0992308E-12,0.0,34.23073396086693,-0.0229450985789299,16.5776133723557,NLOS,
3,463260.98674892646,52.0,0,-142090.90142851323,39,38,38,-0.1640000000006694,17933.38835688308,1.9361977648145156E-4,2.1911219E-11,0.0,266.6778446212411,-0.06291284412145615,25.48421475663781,LOS,
4,463260.98674892646,56.0,0,-202110.20544394106,49,48,49,0.00999999999839929,18642.533952895552,-6.772653530722481E-6,6.8374863E-13,0.0,442.77468430250883,-0.05112599581480026,-31.350927758961916,LOS,
70,463260.98674892646,12.0,0,-161753.96336146072,35,34,35,-0.08599999999933061,17405.25825030729,1.281627964366699E-4,4.5474735E-12,0.0,794.5409266613424,0.824531514197588,65.03720682114363,LOS,
9,463260.98674892646,14.0,0,-224716.7205871418,33,32,32,0.39099999999962165,17657.017949327826,-7.789278425301472E-5,-1.0833621E-11,0.0,541.9710060693324,-0.26222316548228264,1253.8854129239917,NLOS,
73,463260.98674892646,22.0,0,-165021.5377062261,35,29,29,-0.3780000000006112,18563.229479074478,1.1720461950259308E-4,1.8189894E-12,0.0,363.429484128952,-14.730421092361212,47.43275332078338,NLOS,
74,463260.98674892646,44.0,0,-189151.4265747331,42,42,42,0.12300000000323053,18595.61514972523,3.67187912817488E-5,1.8189894E-12,0.0,395.8151547797024,0.016677740961313248,48.27734533697367,NLOS,
11,463260.98674892646,54.0,0,-366785.7275834121,44,43,44,-0.012000000002444722,18637.399601902813,-5.560098588846948E-4,-2.3859768E-12,0.0,437.6418287232518,-0.05477781593799591,-13.000606406480074,LOS,
31,463260.98674892646,38.0,0,-103016.43513031304,34,33,34,-0.043000000001484295,18442.420070931315,3.2391524128463754E-4,-1.1857323E-12,0.0,242.1514606103301,0.1664571687579155,12.615576155483723,NLOS,
32,463261.98680696654,55.0,0,-287763.34711885825,36,36,36,0.18999999999869033,18378.254990562797,-2.2942844401094195E-4,8.8942569E-12,0.0,177.8483018502593,-0.3367474749684334,671.163698438555,NLOS,
1,463261.98680696654,79.0,0,-221129.62083368748,48,47,48,0.22699999999895226,18234.199836883694,-9.344432401565624E-6,1.0992308E-12,0.0,34.070287957787514,-0.16044600307941437,16.964220143854618,NLOS,
3,463261.98680696654,52.0,0,-160292.04106969014,39,38,39,0.2319999999999709,17933.44074586034,1.9361979839261278E-4,2.1911219E-11,0.0,266.7435136437416,-0.06566902250051498,26.530092012137175,LOS,
4,463261.98680696654,56.0,0,-220310.50560588762,49,48,49,0.22399999999834108,18642.6486258097,-6.772652846975675E-6,6.8374863E-13,0.0,442.58343264088035,-0.19125166162848473,-31.150893550366163,LOS,
70,463261.98680696654,12.0,0,-179954.0078691356,35,34,35,0.5370000000002619,17406.135529883206,1.281628009841313E-4,4.5474735E-12,0.0,793.9634395428002,0.5774871185421944,64.98274507001042,LOS,
9,463261.98680696654,14.0,0,-242918.8739660345,33,32,33,-0.09400000000096043,17657.076786205173,-7.789279508660635E-5,-1.0833621E-11,0.0,542.1760979443789,-0.20509187504649162,1255.9352112673223,NLOS,
73,463261.98680696654,22.0,0,-183223.1822690554,36,35,35,0.2459999999991851,18560.836936458945,1.1720462132157763E-4,1.8189894E-12,0.0,360.7371490560472,-2.692335072904825,48.977528747171164,NLOS,
74,463261.98680696654,44.0,0,-207351.92374004796,43,42,42,0.2069999999985157,18595.96528174728,3.671879310073335E-5,1.8189894E-12,0.0,395.8654943406582,0.05033956095576286,48.674723245203495,NLOS,
11,463261.98680696654,54.0,0,-384986.1828691438,45,44,44,0.1930000000029395,18637.513872589916,-5.560098612706654E-4,-2.3859768E-12,0.0,437.4916131608188,-0.15021556243300438,-12.646368693560362,LOS,
31,463261.98680696654,38.0,0,-121217.2603170909,34,33,34,0.42300000000250293,18442.571998026222,3.2391524009890834E-4,-1.1857323E-12,0.0,242.26969293504953,0.11823232471942902,13.340074740350246,NLOS,
32,463262.98686506774,55.0,0,-305963.2955915034,36,36,36,0.09899999999834108,18378.457009058446,-2.294284351167086E-4,8.8942569E-12,0.0,177.9819377362728,0.13363588601350784,671.0145047865808,NLOS,
1,463262.98686506774,79.0,0,-239329.81454003602,48,47,48,0.22400000000197906,18234.49265741557,-9.34443130233765E-6,1.0992308E-12,0.0,34.361807730048895,0.29151977226138115,17.057923309504986,NLOS,
3,463262.98686506774,52.0,0,-178492.66761428118,39,38,39,0.09999999999854481,17933.6389577128,1.9361982030377528E-4,2.1911219E-11,0.0,266.3732301071286,0.3702835366129875,27.06287268176675,LOS,
4,463262.98686506774,56.0,0,-238510.96750893444,49,48,49,0.2110000000029686,18642.912758357823,-6.772652163228827E-6,6.8374863E-13,0.0,442.83864572271705,0.25521308183670044,-30.789118245244026,LOS,
70,463262.98686506774,12.0,0,-198154.86107078195,34,34,35,-0.39400000000023283,17406.255623564124,1.2816280553159292E-4,4.5474735E-12,0.0,793.8433458656073,0.1200936771929264,65.73697728663683,LOS,
9,463262.98686506774,14.0,0,-261121.53657639027,33,32,33,0.18300000000090222,17657.292114760727,-7.789280592019864E-5,-1.0833621E-11,0.0,541.8996336720884,0.2764642722904682,1258.4942410700023,NLOS,
73,463262.98686506774,22.0,0,-201426.7282689698,36,35,36,0.06999999999970896,18563.34163840115,1.1720462314056229E-4,1.8189894E-12,0.0,363.24185099452734,2.504701938480139,52.42374125495553,NLOS,
74,463262.98686506774,44.0,0,-225553.07937423885,43,42,43,0.09200000000055297,18596.882487379014,3.671879491971801E-5,1.8189894E-12,0.0,396.7826999761164,0.917205635458231,49.730570033192635,NLOS,
11,463262.98686506774,54.0,0,-403186.8468217477,45,44,45,0.21500000000014552,18637.77840027958,-5.560098636566361E-4,-2.3859768E-12,0.0,437.7568841576576,0.26527099683880806,-12.083464104682207,LOS,
31,463262.98686506774,38.0,0,-139418.03922084346,34,33,34,0.20599999999831198,18442.861328311265,3.2391523891317915E-4,-1.1857323E-12,0.0,242.96058494225144,0.69089200720191,14.018290296196938,NLOS,
32,463263.9869231078,55.0,0,-324163.72911433876,36,36,36,-0.2109999999993306,18378.42938125506,-2.2942842622247582E-4,8.8942569E-12,0.0,177.6162380464375,-0.36569968983531,671.0505688637495,NLOS,
1,463263.9869231078,79.0,0,-257529.59148051962,48,47,48,-0.04500000000189175,18234.54624305293,-9.344430203109744E-6,1.0992308E-12,0.0,34.105938132852316,-0.255869597196579,16.435068152844906,NLOS,
