PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32,55,0,-233163.2175,36,35,36,36,29,0.084,18378.23064,-2.29E-04,8.89E-12,0,177.7322191,-0.944841176,670.7274509,NLOS
1,79,0,-166529.8092,49,48,49,50,48,0.152,18233.92712,-9.34E-06,1.10E-12,0,34.11501272,-0.705148935,16.85303036,LOS
3,52,0,-105691.1706,38,38,38,42,37,-0.024,17933.43946,1.94E-04,2.19E-11,0,266.6456976,-0.900120445,25.34137911,LOS
4,56,0,-165710.2293,49,48,49,49,48,0.15,18642.45918,-6.77E-06,6.84E-13,0,442.6956376,-0.704298355,-31.72641889,LOS
70,12,0,-125355.4899,35,34,35,37,34,0.633,17404.75889,1.28E-04,4.55E-12,0,795.0402827,-1.674390733,66.16209507,LOS
8,48,0,-1.57E+07,31,31,32,32,31,0.291,17980.23915,0,0,0,218.9035807,1.661752868,1.55E+07,NLOS
9,14,0,-188312.5325,32,31,32,33,30,0.071,17657.03365,-7.79E-05,-1.08E-11,0,540.5566227,-0.17707745,1249.304856,NLOS
73,22,0,-128599.5189,29,28,29,35,28,-0.235,18576.97803,1.17E-04,1.82E-12,0,377.178035,55.12032593,25.01392625,NLOS
74,44,0,-152751.9768,42,42,42,43,41,-0.07,18597.04209,3.67E-05,1.82E-12,0,397.2420941,0.01756404,48.42760813,NLOS
11,54,0,-330385.6582,44,43,43,44,36,0.133,18637.32844,-5.56E-04,-2.39E-12,0,437.5747504,-0.713227618,-13.46751393,LOS
76,26,0,2831896.67,18,17,18,21,17,-3.184,18427.42993,0,0,0,227.6293928,1.110536423,-2995608.235,NLOS
31,38,0,-66616.54828,34,34,34,34,23,0.336,18442.28935,3.24E-04,-1.19E-12,0,241.9419538,-0.514711186,12.33051762,NLOS
32,55,0,-251362.9956,36,35,36,36,29,-0.094,18378.29759,-2.29E-04,8.89E-12,0,178.011005,0.278785981,670.7077309,NLOS
1,79,0,-184729.9469,48,48,49,50,48,0.041,18234.08251,-9.34E-06,1.10E-12,0,34.25367906,0.138666339,17.19047499,LOS
3,52,0,-123891.3378,38,38,38,42,37,0.11,17933.50795,1.94E-04,2.19E-11,0,266.6149318,0.030765865,25.71458929,LOS
4,56,0,-183910.6466,49,48,49,49,48,-0.019,18642.58638,-6.77E-06,6.84E-13,0,442.8258103,0.130172655,-31.10939251,LOS
70,12,0,-143554.5038,35,34,35,37,34,-0.59,17404.43372,1.28E-04,4.55E-12,0,795.3654582,-0.325175475,65.37684442,LOS
8,48,0,-1.57E+07,31,30,32,32,30,0.018,17980.39435,0,0,0,219.1244789,-0.220898259,1.55E+07,NLOS
9,14,0,-206515.2056,32,31,32,33,30,-0.131,17657.12297,-7.79E-05,-1.08E-11,0,541.7087829,-1.152160246,1252.174211,NLOS
73,22,0,-146817.7023,29,28,29,35,28,0.123,18577.9599,1.17E-04,1.82E-12,0,378.1599052,0.981870271,43.39729406,NLOS
74,44,0,-170952.253,42,42,42,43,41,0.244,18595.59847,3.67E-05,1.82E-12,0,395.798477,-1.443617012,48.90378196,NLOS
11,54,0,-348586.2284,44,43,44,44,36,0.045,18637.45252,-5.56E-04,-2.39E-12,0,437.6966065,0.121856097,-12.69851656,LOS
76,26,0,2813713.384,17,17,18,21,17,2.012,18419.92634,0,0,0,220.1257992,-7.50359362,-2995624.75,NLOS
31,38,0,-84816.41086,34,33,34,34,23,-0.205,18442.43683,3.24E-04,-1.19E-12,0,241.9850034,0.043049611,12.39220192,NLOS
32,55,0,-269562.7486,36,35,36,36,29,-0.027,18378.19922,-2.29E-04,8.89E-12,0,178.1850493,0.174044278,670.6628821,NLOS
1,79,0,-202929.1342,48,47,49,50,47,0.012,18234.0551,-9.34E-06,1.10E-12,0,34.23073396,-0.022945099,16.57761337,LOS
3,52,0,-142090.9014,39,38,38,42,37,-0.164,17933.38836,1.94E-04,2.19E-11,0,266.6778446,-0.062912844,25.48421476,LOS
4,56,0,-202110.2054,49,48,49,49,48,0.01,18642.53395,-6.77E-06,6.84E-13,0,442.7746843,-0.051125996,-31.35092776,LOS
70,12,0,-161753.9634,35,34,35,37,34,-0.086,17405.25825,1.28E-04,4.55E-12,0,794.5409267,0.824531514,65.03720682,LOS
8,48,0,-1.57E+07,31,30,31,32,30,-0.053,17980.33207,0,0,0,219.5604563,-0.435977388,1.55E+07,NLOS
9,14,0,-224716.7206,33,32,32,33,30,0.391,17657.01795,-7.79E-05,-1.08E-11,0,541.9710061,-0.262223165,1253.885413,NLOS
73,22,0,-165021.5377,35,29,29,35,28,-0.378,18563.22948,1.17E-04,1.82E-12,0,363.4294841,-14.73042109,47.43275332,NLOS
74,44,0,-189151.4266,42,42,42,43,41,0.123,18595.61515,3.67E-05,1.82E-12,0,395.8151548,0.016677741,48.27734534,NLOS
11,54,0,-366785.7276,44,43,44,44,36,-0.012,18637.3996,-5.56E-04,-2.39E-12,0,437.6418287,-0.054777816,-13.00060641,LOS
76,26,0,2795514.95,17,16,18,21,16,-1.688,18434.88118,0,0,0,235.0806358,14.95483659,-2995626.116,NLOS
31,38,0,-103016.4351,34,33,34,34,23,-0.043,18442.42007,3.24E-04,-1.19E-12,0,242.1514606,0.166457169,12.61557616,NLOS
32,55,0,-287763.3471,36,36,36,36,29,0.19,18378.25499,-2.29E-04,8.89E-12,0,177.8483019,-0.336747475,671.1636984,NLOS
1,79,0,-221129.6208,48,47,48,50,47,0.227,18234.19984,-9.34E-06,1.10E-12,0,34.07028796,-0.160446003,16.96422014,LOS
