PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32.0000000000,55.0000000000,0.0000000000,-233163.2175000000,36.0000000000,35.0000000000,36.0000000000,36.0000000000,29.0000000000,0.0840000000,18378.2306400000,-0.0002290000,0.0000000000,0.0000000000,177.7322191000,-0.9448411760,670.7274509000,NLOS
1.0000000000,79.0000000000,0.0000000000,-166529.8092000000,49.0000000000,48.0000000000,49.0000000000,50.0000000000,48.0000000000,0.1520000000,18233.9271200000,-0.0000093400,0.0000000000,0.0000000000,34.1150127200,-0.7051489350,16.8530303600,LOS
3.0000000000,52.0000000000,0.0000000000,-105691.1706000000,38.0000000000,38.0000000000,38.0000000000,42.0000000000,37.0000000000,-0.0240000000,17933.4394600000,0.0001940000,0.0000000000,0.0000000000,266.6456976000,-0.9001204450,25.3413791100,LOS
4.0000000000,56.0000000000,0.0000000000,-165710.2293000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,48.0000000000,0.1500000000,18642.4591800000,-0.0000067700,0.0000000000,0.0000000000,442.6956376000,-0.7042983550,-31.7264188900,LOS
70.0000000000,12.0000000000,0.0000000000,-125355.4899000000,35.0000000000,34.0000000000,35.0000000000,37.0000000000,34.0000000000,0.6330000000,17404.7588900000,0.0001280000,0.0000000000,0.0000000000,795.0402827000,-1.6743907330,66.1620950700,LOS
8.0000000000,48.0000000000,0.0000000000,-15700000.0000000000,31.0000000000,31.0000000000,32.0000000000,32.0000000000,31.0000000000,0.2910000000,17980.2391500000,0.0000000000,0.0000000000,0.0000000000,218.9035807000,1.6617528680,15500000.0000000000,NLOS
9.0000000000,14.0000000000,0.0000000000,-188312.5325000000,32.0000000000,31.0000000000,32.0000000000,33.0000000000,30.0000000000,0.0710000000,17657.0336500000,-0.0000779000,0.0000000000,0.0000000000,540.5566227000,-0.1770774500,1249.3048560000,NLOS
73.0000000000,22.0000000000,0.0000000000,-128599.5189000000,29.0000000000,28.0000000000,29.0000000000,35.0000000000,28.0000000000,-0.2350000000,18576.9780300000,0.0001170000,0.0000000000,0.0000000000,377.1780350000,55.1203259300,25.0139262500,NLOS
74.0000000000,44.0000000000,0.0000000000,-152751.9768000000,42.0000000000,42.0000000000,42.0000000000,43.0000000000,41.0000000000,-0.0700000000,18597.0420900000,0.0000367000,0.0000000000,0.0000000000,397.2420941000,0.0175640400,48.4276081300,NLOS
11.0000000000,54.0000000000,0.0000000000,-330385.6582000000,44.0000000000,43.0000000000,43.0000000000,44.0000000000,36.0000000000,0.1330000000,18637.3284400000,-0.0005560000,0.0000000000,0.0000000000,437.5747504000,-0.7132276180,-13.4675139300,LOS
76.0000000000,26.0000000000,0.0000000000,2831896.6700000000,18.0000000000,17.0000000000,18.0000000000,21.0000000000,17.0000000000,-3.1840000000,18427.4299300000,0.0000000000,0.0000000000,0.0000000000,227.6293928000,1.1105364230,-2995608.2350000000,NLOS
31.0000000000,38.0000000000,0.0000000000,-66616.5482800000,34.0000000000,34.0000000000,34.0000000000,34.0000000000,23.0000000000,0.3360000000,18442.2893500000,0.0003240000,0.0000000000,0.0000000000,241.9419538000,-0.5147111860,12.3305176200,NLOS
32.0000000000,55.0000000000,0.0000000000,-251362.9956000000,36.0000000000,35.0000000000,36.0000000000,36.0000000000,29.0000000000,-0.0940000000,18378.2975900000,-0.0002290000,0.0000000000,0.0000000000,178.0110050000,0.2787859810,670.7077309000,NLOS
1.0000000000,79.0000000000,0.0000000000,-184729.9469000000,48.0000000000,48.0000000000,49.0000000000,50.0000000000,48.0000000000,0.0410000000,18234.0825100000,-0.0000093400,0.0000000000,0.0000000000,34.2536790600,0.1386663390,17.1904749900,LOS
3.0000000000,52.0000000000,0.0000000000,-123891.3378000000,38.0000000000,38.0000000000,38.0000000000,42.0000000000,37.0000000000,0.1100000000,17933.5079499999,0.0001940000,0.0000000000,0.0000000000,266.6149318000,0.0307658650,25.7145892900,LOS
4.0000000000,56.0000000000,0.0000000000,-183910.6466000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,48.0000000000,-0.0190000000,18642.5863800000,-0.0000067700,0.0000000000,0.0000000000,442.8258103000,0.1301726550,-31.1093925100,LOS
70.0000000000,12.0000000000,0.0000000000,-143554.5038000000,35.0000000000,34.0000000000,35.0000000000,37.0000000000,34.0000000000,-0.5900000000,17404.4337200000,0.0001280000,0.0000000000,0.0000000000,795.3654582000,-0.3251754750,65.3768444200,LOS
