 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32,463664.00145476183,54.0,2,-505174.7092356123,47,46,47,0.31599999999889405,18388.856278195977,-2.3029609823657546E-4,1.080773E-11,0.0,188.52610329166055,-1.818059865385294,-5.5911907739937305,NLOS,
3,463664.00145476183,54.0,2,-378115.131579604,41,40,42,0.31599999999889405,17941.792862437665,1.9362860318884885E-4,2.1893931E-11,0.0,258.7556750997901,-1.8240225352346897,24.259400464594364,LOS,
4,463664.00145476183,53.0,2,-438141.95066578314,50,49,50,0.36700000000200816,18674.617046449333,-6.772337058284838E-6,8.7782917E-13,0.0,474.22275909781456,-1.7412295192480087,-27.61197555810213,LOS,
8,463664.00145476183,49.0,2,-431439.55166132003,32,31,32,0.3790000000008149,18019.64358696714,1.7165221885908887E-5,4.8124811E-12,0.0,179.7196925394237,-1.6146793253719807,446.28865437954664,NLOS,
9,463664.00145476183,16.0,2,-460660.26198416203,32,32,32,0.3280000000013388,17670.322180267423,-7.789715154402728E-5,-1.0838515E-11,0.0,531.0140242502093,-0.19419261813163757,1168.0163833461702,NLOS,
74,463664.00145476183,41.0,0,-425132.9966744296,36,35,36,0.7030000000013388,18646.697178740054,3.6719524359796115E-5,1.8189894E-12,0.0,446.29759887978435,-3.0651698634028435,1.9660706110298634,NLOS,
11,463664.00145476183,50.0,2,-602795.3786835372,49,48,49,0.36899999999877764,18668.87373507768,-5.560107552918032E-4,-2.0904871E-12,0.0,468.52501337602735,-1.7732393071055412,-31.71938806027174,NLOS,
17,463664.00145476183,14.0,2,-482455.4722001329,39,38,39,0.3899999999994179,18108.825854789466,-1.542934914773103E-4,-9.3657309E-13,0.0,91.79790974408388,-1.6888264901936054,60.180068515241146,NLOS,
23,463664.00145476183,46.0,2,-462289.9985064715,35,35,34,0.34799999999813735,17876.038590911776,-8.684570548360967E-5,6.3604222E-13,0.0,327.2300725951791,-5.898405238986015,115.04392456263304,NLOS,
31,463664.00145476183,37.0,2,-338992.69457041845,31,30,39,0.4319999999970605,18486.930026069283,3.239147979246138E-4,-1.0289248E-12,0.0,286.91833248361945,-1.9250016286969185,-39.359045419842005,NLOS,
32,463665.00151549006,54.0,2,-523373.30631138757,47,46,47,-0.056000000000494765,18388.79957740754,-2.3029608742884512E-4,1.080773E-11,0.0,190.26890053227544,1.742797240614891,-5.592245351523161,NLOS,
3,463665.00151549006,54.0,2,-396313.5649981648,41,40,41,-0.07200000000011642,17941.72211496532,1.9362862508278108E-4,2.1893931E-11,0.0,256.98065473139286,1.7750203683972359,24.09801222756505,LOS,
4,463665.00151549006,53.0,2,-456340.45948933065,50,49,50,-0.011000000002240995,18674.605205800384,-6.7723361804556545E-6,8.7782917E-13,0.0,476.00335524976254,1.7805961519479752,-27.704259272664785,LOS,
8,463665.00151549006,49.0,2,-449639.1584766023,32,31,32,0.016999999999825377,18019.661301050335,1.7165226698390114E-5,4.8124811E-12,0.0,177.74304468557239,1.9766478538513184,447.2955419756472,NLOS,
9,463665.00151549006,16.0,2,-478858.30494163185,33,32,32,-0.0610000000015134,17670.26061445102,-7.789716238254208E-5,-1.0838515E-11,0.0,528.8667245469987,2.1472997032105923,1167.454721082002,NLOS,
74,463665.00151549006,41.0,0,-443332.2212900035,36,35,36,-0.4069999999992433,18646.252740748227,3.671952617878555E-5,1.8189894E-12,0.0,447.6519156359136,1.3543167561292648,2.589861072599888,NLOS,
11,463665.00151549006,50.0,2,-620993.9487712383,49,48,49,-0.00999999999839929,18668.86215735972,-5.560107573822904E-4,-2.0904871E-12,0.0,470.31479190662503,1.7897785305976868,-31.751297503709793,NLOS,
17,463665.00151549006,14.0,2,-500653.9018797688,39,38,39,0.008000000001629815,18108.832389499992,-1.542934924138834E-4,-9.3657309E-13,0.0,89.86180128157139,1.9361084625124931,60.00809694081545,NLOS,
23,463665.00151549006,46.0,2,-480486.76952188835,36,35,35,-0.04499999999825377,17875.995298445225,-8.684570484756745E-5,6.3604222E-13,0.0,324.3723108917475,2.8577617034316063,113.21376023069024,NLOS,
31,463665.00151549006,37.0,2,-357191.10248973966,32,31,38,-0.023999999997613486,18486.90594238788,3.2391479689568905E-4,-1.0289248E-12,0.0,288.227704744786,1.3093722611665726,-39.55280499532819,NLOS,
32,463666.0015761572,54.0,2,-541571.8884306476,47,46,47,0.033000000003085006,18388.841019384563,-2.3029607662111536E-4,1.080773E-11,0.0,190.28822967410088,0.019329141825437546,-5.608256448060274,NLOS,
3,463666.0015761572,54.0,2,-414512.1344711222,41,40,41,0.02500000000145519,17941.756432302296,1.9362864697671214E-4,2.1893931E-11,0.0,256.8149608448148,0.16569388657808304,24.07267838716507,LOS,
4,463666.0015761572,53.0,2,-474538.9563122615,50,49,50,0.08699999999953434,18674.703283123672,-6.772335302626519E-6,8.7782917E-13,0.0,476.07578913122416,0.07243388146162033,-27.808543607592583,LOS,
8,463666.0015761572,49.0,2,-467838.88560924307,32,31,32,0.09999999999854481,18019.770896743983,1.716523151087108E-5,4.8124811E-12,0.0,177.5156375579536,0.22740712761878967,448.4227469302714,NLOS,
9,463666.0015761572,16.0,2,-497056.10526765883,33,32,33,0.059000000001105946,17670.32917962596,-7.789717322105632E-5,-1.0838515E-11,0.0,529.067788194865,-0.20106364786624908,1166.6504273712635,NLOS,
74,463666.0015761572,41.0,0,-461531.6392161511,36,36,36,0.48699999999735155,18646.570838268846,3.671952799777489E-5,1.8189894E-12,0.0,447.97001315653324,0.3180975206196308,3.4069621078670025,NLOS,
11,463666.0015761572,50.0,2,-639192.545647569,49,48,49,0.08399999999892316,18668.956391517073,-5.560107594727774E-4,-2.0904871E-12,0.0,470.4235202036798,0.10872829705476761,-31.75641831755638,NLOS,
17,463666.0015761572,14.0,2,-518852.4479277767,39,38,39,0.1099999999969441,18108.952629666775,-1.5429349335045647E-4,-9.3657309E-13,0.0,89.64140280336142,0.22039847820997238,59.952493742108345,NLOS,
23,463666.0015761572,46.0,2,-498683.78017196804,37,36,36,0.07599999999729334,17876.079791959375,-8.684570421152525E-5,6.3604222E-13,0.0,324.0711479894817,0.3011629022657871,111.62323055788875,NLOS,
