 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32.0000000000,463664.0014547610,54.0000000000,2.0000000000,-505174.7092356120,47.0000000000,46.0000000000,47.0000000000,0.3160000000,18388.8562781959,-0.0002302961,0.0000000000,0.0000000000,188.5261032917,-1.8180598654,-5.5911907740,NLOS
3.0000000000,463664.0014547610,54.0000000000,2.0000000000,-378115.1315796040,41.0000000000,40.0000000000,42.0000000000,0.3160000000,17941.7928624376,0.0001936286,0.0000000000,0.0000000000,258.7556750998,-1.8240225352,24.2594004646,LOS
4.0000000000,463664.0014547610,53.0000000000,2.0000000000,-438141.9506657830,50.0000000000,49.0000000000,50.0000000000,0.3670000000,18674.6170464493,-0.0000067723,0.0000000000,0.0000000000,474.2227590978,-1.7412295192,-27.6119755581,LOS
8.0000000000,463664.0014547610,49.0000000000,2.0000000000,-431439.5516613200,32.0000000000,31.0000000000,32.0000000000,0.3790000000,18019.6435869671,0.0000171652,0.0000000000,0.0000000000,179.7196925394,-1.6146793254,446.2886543795,NLOS
9.0000000000,463664.0014547610,16.0000000000,2.0000000000,-460660.2619841620,32.0000000000,32.0000000000,32.0000000000,0.3280000000,17670.3221802674,-0.0000778972,0.0000000000,0.0000000000,531.0140242502,-0.1941926181,1168.0163833462,NLOS
74.0000000000,463664.0014547610,41.0000000000,0.0000000000,-425132.9966744290,36.0000000000,35.0000000000,36.0000000000,0.7030000000,18646.6971787400,0.0000367195,0.0000000000,0.0000000000,446.2975988798,-3.0651698634,1.9660706110,NLOS
11.0000000000,463664.0014547610,50.0000000000,2.0000000000,-602795.3786835370,49.0000000000,48.0000000000,49.0000000000,0.3690000000,18668.8737350776,-0.0005560108,0.0000000000,0.0000000000,468.5250133760,-1.7732393071,-31.7193880603,NLOS
17.0000000000,463664.0014547610,14.0000000000,2.0000000000,-482455.4722001320,39.0000000000,38.0000000000,39.0000000000,0.3900000000,18108.8258547894,-0.0001542935,0.0000000000,0.0000000000,91.7979097441,-1.6888264902,60.1800685152,NLOS
23.0000000000,463664.0014547610,46.0000000000,2.0000000000,-462289.9985064710,35.0000000000,35.0000000000,34.0000000000,0.3480000000,17876.0385909117,-0.0000868457,0.0000000000,0.0000000000,327.2300725952,-5.8984052390,115.0439245626,NLOS
31.0000000000,463664.0014547610,37.0000000000,2.0000000000,-338992.6945704180,31.0000000000,30.0000000000,39.0000000000,0.4320000000,18486.9300260692,0.0003239148,0.0000000000,0.0000000000,286.9183324836,-1.9250016287,-39.3590454198,NLOS
32.0000000000,463665.0015154900,54.0000000000,2.0000000000,-523373.3063113870,47.0000000000,46.0000000000,47.0000000000,-0.0560000000,18388.7995774075,-0.0002302961,0.0000000000,0.0000000000,190.2689005323,1.7427972406,-5.5922453515,NLOS
3.0000000000,463665.0015154900,54.0000000000,2.0000000000,-396313.5649981640,41.0000000000,40.0000000000,41.0000000000,-0.0720000000,17941.7221149653,0.0001936286,0.0000000000,0.0000000000,256.9806547314,1.7750203684,24.0980122276,LOS
4.0000000000,463665.0015154900,53.0000000000,2.0000000000,-456340.4594893300,50.0000000000,49.0000000000,50.0000000000,-0.0110000000,18674.6052058003,-0.0000067723,0.0000000000,0.0000000000,476.0033552498,1.7805961519,-27.7042592727,LOS
8.0000000000,463665.0015154900,49.0000000000,2.0000000000,-449639.1584766020,32.0000000000,31.0000000000,32.0000000000,0.0170000000,18019.6613010503,0.0000171652,0.0000000000,0.0000000000,177.7430446856,1.9766478539,447.2955419756,NLOS
9.0000000000,463665.0015154900,16.0000000000,2.0000000000,-478858.3049416310,33.0000000000,32.0000000000,32.0000000000,-0.0610000000,17670.2606144510,-0.0000778972,0.0000000000,0.0000000000,528.8667245470,2.1472997032,1167.4547210820,NLOS
