PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
73.00000000,21.00000000,0.00000000,-1055053.25200000,18.00000000,18.00000000,29.00000000,30.00000000,10.00000000,-7.00400000,18578.13348000,0.00000000,0.00000000,0.00000000,379.23231640,26.86146449,-36246.45691000,NLOS
17.00000000,14.00000000,0.00000000,-21500000.00000000,22.00000000,21.00000000,23.00000000,41.00000000,20.00000000,-5.90200000,18121.40693000,0.00000000,0.00000000,-11.70206400,46190.29135000,46274.09795000,18000000.00000000,NLOS
17.00000000,14.00000000,0.00000000,-5960829.72200000,21.00000000,20.00000000,31.00000000,41.00000000,0.00000000,-4.40300000,18137.58434000,-0.00015400,0.00000000,0.00000000,55.91391375,-37.41433526,159.76861870,NLOS
73.00000000,20.00000000,0.00000000,2902351.39200000,16.00000000,15.00000000,25.00000000,28.00000000,13.00000000,-4.05500000,18632.94115000,0.00000000,0.00000000,0.00000000,433.44039960,48.04986571,-6032050.64600000,NLOS
17.00000000,14.00000000,0.00000000,-4049565.19600000,20.00000000,8.00000000,15.00000000,41.00000000,0.00000000,-3.54100000,18131.64076000,-0.00015400,0.00000000,11.71453600,46312.42270000,-92457.08921000,6.24097660,NLOS
17.00000000,14.00000000,0.00000000,-4013191.63800000,15.00000000,14.00000000,26.00000000,41.00000000,0.00000000,-3.52700000,18128.43845000,-0.00015400,0.00000000,0.00000000,57.63878688,25.17734729,34.98329977,NLOS
17.00000000,14.00000000,2.00000000,-3667378.92700000,29.00000000,28.00000000,28.00000000,41.00000000,0.00000000,-2.88600000,18128.89837000,-0.00015400,0.00000000,0.00000000,83.87039348,1.96783769,23.28471304,NLOS
73.00000000,20.00000000,0.00000000,4243934.13400000,20.00000000,19.00000000,28.00000000,34.00000000,19.00000000,-2.85500000,18585.05775000,0.00000000,0.00000000,0.00000000,384.05803980,36.70094666,-9029885.98900000,NLOS
73.00000000,21.00000000,0.00000000,2361453.02300000,24.00000000,23.00000000,24.00000000,28.00000000,13.00000000,-2.59000000,18560.33079000,0.00000000,0.00000000,0.00000000,361.42962850,7.23870160,-3034175.30700000,NLOS
1.00000000,77.00000000,2.00000000,-5498649.44600000,32.00000000,31.00000000,32.00000000,32.00000000,0.00000000,-2.37100000,18310.99994000,-0.00000934,0.00000000,0.00000000,108.47833230,0.41159195,61.04518654,NLOS
9.00000000,16.00000000,2.00000000,-1552610.95300000,29.00000000,28.00000000,29.00000000,33.00000000,0.00000000,-2.34500000,17674.25103000,-0.00007790,0.00000000,0.00000000,519.65400810,0.38793327,1167.35492700,NLOS
73.00000000,21.00000000,0.00000000,2252273.65900000,27.00000000,16.00000000,12.00000000,28.00000000,10.00000000,-1.69000000,18563.89064000,0.00000000,0.00000000,0.00000000,364.68968050,21.20201455,-3034189.65000000,NLOS
73.00000000,21.00000000,0.00000000,2525237.89400000,22.00000000,21.00000000,21.00000000,28.00000000,13.00000000,-1.44500000,18557.15485000,0.00000000,0.00000000,0.00000000,358.55348130,-6.60421625,-3034172.46600000,NLOS
73.00000000,20.00000000,0.00000000,4171180.59200000,24.00000000,23.00000000,23.00000000,34.00000000,19.00000000,-1.42000000,18520.03824000,0.00000000,0.00000000,0.00000000,319.33832100,-11.65360669,-9029936.44500000,NLOS
17.00000000,14.00000000,0.00000000,-5232767.07600000,23.00000000,22.00000000,34.00000000,41.00000000,0.00000000,-1.41000000,18136.73039000,-0.00015400,0.00000000,0.00000000,38.20097871,28.58403288,139.52153260,NLOS
9.00000000,17.00000000,2.00000000,-5337359.12900000,28.00000000,28.00000000,29.00000000,33.00000000,0.00000000,-1.36900000,17683.64052000,-0.00007840,0.00000000,0.00000000,528.67015160,-25.54534291,73.52637722,NLOS
17.00000000,14.00000000,0.00000000,-5815203.35000000,25.00000000,24.00000000,35.00000000,41.00000000,0.00000000,-1.35200000,18140.22817000,-0.00015400,0.00000000,0.00000000,60.50081025,-59.14425633,141.99588870,NLOS
73.00000000,20.00000000,0.00000000,-2747681.40700000,27.00000000,26.00000000,26.00000000,31.00000000,7.00000000,-1.23000000,18570.09826000,0.00000000,0.00000000,0.00000000,369.69813450,-0.27887911,-36208.74564000,NLOS
9.00000000,17.00000000,0.00000000,-4318094.71300000,23.00000000,22.00000000,24.00000000,33.00000000,0.00000000,-1.19900000,17681.20745000,-0.00007840,0.00000000,0.00000000,500.19669280,-34.03566701,64.69202595,NLOS
9.00000000,16.00000000,0.00000000,-1334520.11100000,20.00000000,19.00000000,20.00000000,33.00000000,7.00000000,-1.19700000,17672.52286000,-0.00007790,0.00000000,0.00000000,502.62498630,-1.39719063,1475.05719100,NLOS
74.00000000,41.00000000,0.00000000,-679902.83330000,31.00000000,30.00000000,36.00000000,37.00000000,30.00000000,-1.19400000,18644.21680000,0.00003670,0.00000000,0.00000000,445.61597130,-2.60634933,-9.80802777,NLOS
9.00000000,16.00000000,2.00000000,-1971208.04900000,32.00000000,31.00000000,32.00000000,33.00000000,0.00000000,-1.19100000,17673.91206000,-0.00007790,0.00000000,0.00000000,518.58022270,11.94831941,1167.16498100,NLOS
73.00000000,21.00000000,0.00000000,2579889.49600000,20.00000000,19.00000000,27.00000000,28.00000000,13.00000000,-1.16800000,18467.70504000,0.00000000,0.00000000,0.00000000,269.10366520,-125.67508580,-3034227.36500000,NLOS
73.00000000,20.00000000,0.00000000,4080191.63300000,24.00000000,23.00000000,25.00000000,34.00000000,19.00000000,-1.15400000,18567.15383000,0.00000000,0.00000000,0.00000000,366.15411640,16.87122180,-9029949.78600000,NLOS
73.00000000,20.00000000,0.00000000,4462431.62300000,26.00000000,25.00000000,26.00000000,34.00000000,25.00000000,-1.14900000,18591.72373000,0.00000000,0.00000000,0.00000000,390.42423060,18.39252950,-9029967.28400000,NLOS
73.00000000,21.00000000,0.00000000,2234067.30100000,27.00000000,26.00000000,27.00000000,28.00000000,10.00000000,-1.13900000,18568.32299000,0.00000000,0.00000000,0.00000000,368.82224330,4.13256285,-3034182.79300000,NLOS
73.00000000,20.00000000,0.00000000,-2674864.21700000,25.00000000,24.00000000,30.00000000,31.00000000,7.00000000,-1.08600000,18558.85079000,0.00000000,0.00000000,0.00000000,358.75045390,-1.91841700,-36225.23525000,NLOS
8.00000000,50.00000000,0.00000000,-4963191.85400000,12.00000000,11.00000000,13.00000000,38.00000000,10.00000000,-1.08200000,18048.16152000,0.00001720,0.00000000,0.00000000,124.29441030,14.70272430,379.06011430,NLOS
73.00000000,20.00000000,0.00000000,-3384957.55400000,24.00000000,23.00000000,25.00000000,28.00000000,13.00000000,-1.05600000,18700.92520000,0.00000000,0.00000000,0.00000000,500.22528600,19.95556970,-35940.90768000,NLOS
74.00000000,41.00000000,0.00000000,-570720.36700000,37.00000000,36.00000000,37.00000000,37.00000000,32.00000000,-1.04500000,18644.87867000,0.00003670,0.00000000,0.00000000,446.27784370,-0.81124564,-0.36958183,NLOS
73.00000000,20.00000000,0.00000000,2884097.51800000,28.00000000,18.00000000,16.00000000,28.00000000,13.00000000,-1.04500000,18616.95675000,0.00000000,0.00000000,0.00000000,418.05558510,-15.38481453,-6031995.67300000,NLOS
73.00000000,20.00000000,0.00000000,-1364437.96000000,30.00000000,29.00000000,30.00000000,31.00000000,10.00000000,-0.99200000,18585.65865000,0.00000000,0.00000000,0.00000000,385.85811060,48.42742304,-36253.26181000,NLOS
73.00000000,20.00000000,0.00000000,-2274438.87000000,28.00000000,27.00000000,27.00000000,31.00000000,7.00000000,-0.97100000,18571.70982000,0.00000000,0.00000000,0.00000000,371.60949220,2.70062191,-36250.17279000,NLOS
73.00000000,20.00000000,0.00000000,-3257414.88000000,27.00000000,26.00000000,27.00000000,28.00000000,13.00000000,-0.96500000,18610.14852000,0.00000000,0.00000000,0.00000000,409.74839290,15.94377534,-36081.97945000,NLOS
73.00000000,21.00000000,0.00000000,2161243.80100000,28.00000000,27.00000000,28.00000000,28.00000000,10.00000000,-0.95500000,18569.09080000,0.00000000,0.00000000,0.00000000,369.59005290,-2.14009927,-3034156.99600000,NLOS
8.00000000,50.00000000,0.00000000,-3234313.83700000,25.00000000,24.00000000,25.00000000,38.00000000,10.00000000,-0.95500000,18037.45128000,0.00001720,0.00000000,0.00000000,138.20527120,6.67136528,564.10392980,NLOS
73.00000000,20.00000000,0.00000000,-1583099.82800000,25.00000000,24.00000000,28.00000000,31.00000000,10.00000000,-0.94500000,18605.43336000,0.00000000,0.00000000,0.03403900,405.63281950,1.81112160,-35991.09832000,NLOS
9.00000000,16.00000000,0.00000000,-824640.28160000,25.00000000,24.00000000,25.00000000,33.00000000,21.00000000,-0.92800000,17671.87624000,-0.00007790,0.00000000,0.00000000,551.60334960,-23.86201545,1171.74655500,NLOS
73.00000000,21.00000000,0.00000000,2070257.55300000,29.00000000,28.00000000,29.00000000,29.00000000,10.00000000,-0.88800000,18567.43303000,0.00000000,0.00000000,0.00000000,368.53186710,7.69868477,-3034166.75300000,NLOS
73.00000000,21.00000000,0.00000000,2106660.93900000,29.00000000,28.00000000,29.00000000,29.00000000,10.00000000,-0.87300000,18554.67692000,0.00000000,0.00000000,0.00000000,355.47596550,1.73071031,-3034172.03700000,NLOS
73.00000000,20.00000000,0.00000000,4207504.88700000,22.00000000,21.00000000,21.00000000,34.00000000,19.00000000,-0.87300000,18553.00170000,0.00000000,0.00000000,0.00000000,351.70219740,-51.23697804,-9029859.04100000,NLOS
73.00000000,20.00000000,0.00000000,4480659.63500000,26.00000000,25.00000000,33.00000000,34.00000000,25.00000000,-0.83400000,18573.33120000,0.00000000,0.00000000,0.00000000,372.03170110,3.17280087,-9029993.99600000,NLOS
17.00000000,14.00000000,0.00000000,-3503575.69000000,22.00000000,21.00000000,31.00000000,41.00000000,20.00000000,-0.82900000,18127.16885000,-0.00015400,0.00000000,0.00000000,83.80660391,14.58744501,21.85316429,NLOS
73.00000000,21.00000000,0.00000000,2470636.95000000,24.00000000,23.00000000,23.00000000,28.00000000,13.00000000,-0.81300000,18571.97009000,0.00000000,0.00000000,0.00000000,373.36871620,10.34797912,-3034167.32600000,NLOS
