PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
73,21,0,-1055053.252,18,18,29,30,10,-7.004,18578.13348,0,0,0,379.2323164,26.86146449,-36246.45691,NLOS
17,14,0,-2.15E+07,22,21,23,41,20,-5.902,18121.40693,0,0,-11.702064,46190.29135,46274.09795,1.80E+07,NLOS
17,14,0,-5960829.722,21,20,31,41,0,-4.403,18137.58434,-1.54E-04,-1.08E-12,0,55.91391375,-37.41433526,159.7686187,NLOS
73,20,0,2902351.392,16,15,25,28,13,-4.055,18632.94115,0,0,0,433.4403996,48.04986571,-6032050.646,NLOS
17,14,0,-4049565.196,20,8,15,41,0,-3.541,18131.64076,-1.54E-04,-1.03E-12,11.714536,46312.4227,-92457.08921,6.240976602,NLOS
17,14,0,-4013191.638,15,14,26,41,0,-3.527,18128.43845,-1.54E-04,-1.03E-12,0,57.63878688,25.17734729,34.98329977,NLOS
17,14,2,-3667378.927,29,28,28,41,0,-2.886,18128.89837,-1.54E-04,-1.01E-12,0,83.87039348,1.967837688,23.28471304,NLOS
73,20,0,4243934.134,20,19,28,34,19,-2.855,18585.05775,0,0,0,384.0580398,36.70094666,-9029885.989,NLOS
73,21,0,2361453.023,24,23,24,28,13,-2.59,18560.33079,0,0,0,361.4296285,7.238701604,-3034175.307,NLOS
1,77,2,-5498649.446,32,31,32,32,0,-2.371,18310.99994,-9.34E-06,1.21E-12,0,108.4783323,0.411591951,61.04518654,NLOS
9,16,2,-1552610.953,29,28,29,33,0,-2.345,17674.25103,-7.79E-05,-1.08E-11,0,519.6540081,0.387933269,1167.354927,NLOS
73,21,0,2252273.659,27,16,12,28,10,-1.69,18563.89064,0,0,0,364.6896805,21.20201455,-3034189.65,NLOS
73,21,0,2525237.894,22,21,21,28,13,-1.445,18557.15485,0,0,0,358.5534813,-6.604216252,-3034172.466,NLOS
73,20,0,4171180.592,24,23,23,34,19,-1.42,18520.03824,0,0,0,319.338321,-11.65360669,-9029936.445,NLOS
17,14,0,-5232767.076,23,22,34,41,0,-1.41,18136.73039,-1.54E-04,-1.05E-12,0,38.20097871,28.58403288,139.5215326,NLOS
9,17,2,-5337359.129,28,28,29,33,0,-1.369,17683.64052,-7.84E-05,-1.18E-11,0,528.6701516,-25.54534291,73.52637722,NLOS
17,14,0,-5815203.35,25,24,35,41,0,-1.352,18140.22817,-1.54E-04,-1.08E-12,0,60.50081025,-59.14425633,141.9958887,NLOS
73,20,0,-2747681.407,27,26,26,31,7,-1.23,18570.09826,0,0,0,369.6981345,-0.278879113,-36208.74564,NLOS
9,17,0,-4318094.713,23,22,24,33,0,-1.199,17681.20745,-7.84E-05,-1.18E-11,0,500.1966928,-34.03566701,64.69202595,NLOS
9,16,0,-1334520.111,20,19,20,33,7,-1.197,17672.52286,-7.79E-05,-1.08E-11,0,502.6249863,-1.397190627,1475.057191,NLOS
74,41,0,-679902.8333,31,30,36,37,30,-1.194,18644.2168,3.67E-05,1.82E-12,0,445.6159713,-2.606349334,-9.80802777,NLOS
9,16,2,-1971208.049,32,31,32,33,0,-1.191,17673.91206,-7.79E-05,-1.08E-11,0,518.5802227,11.94831941,1167.164981,NLOS
