SNR,Los Freq,Nlos Freq
4,0,24
5,0,3
6,0,1
7,0,2
8,0,3
9,0,6
10,0,3
11,0,10
12,0,14
13,0,13
14,0,14
15,0,27
16,1,48
17,0,66
18,0,71
19,0,128
20,1,125
21,3,136
22,4,152
23,29,182
24,49,244
25,69,215
26,37,237
27,57,277
28,62,311
29,35,331
30,44,271
31,70,330
32,84,416
33,67,433
34,42,410
35,44,478
36,53,373
37,115,352
38,161,360
39,98,431
40,211,401
41,215,353
42,251,357
43,350,172
44,428,174
45,381,127
46,377,81
47,249,93
48,457,141
49,398,106
50,231,55
51,115,8
52,95,0
53,114,0
54,56,0
56,7,0
57,1,0
