 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1,463238.9906,79,0,-317422.8688,49,49,49,0.27,18226.56455,-8.59E-06,6.41E-13,0,32.16047093,-0.791775834,706.0097109,LOS
17,463238.9906,14,0,-360472.945,32,32,33,-0.002,18062.72921,-1.54E-04,1.42E-12,0,160.2169697,-0.747466143,21.29218741,NLOS
3,463238.9906,52,0,-256015.4164,41,40,41,0.209,17927.97009,1.94E-04,1.83E-11,0,266.4153252,-0.877050769,-50.18996914,LOS
4,463238.9906,56,0,-316990.131,49,48,49,0.233,18635.51555,-6.70E-06,1.24E-12,0,441.1198161,-0.99060902,840.249655,LOS
70,463238.9906,12,0,-275791.8035,37,36,36,0.205,17395.0357,1.28E-04,4.55E-12,0,799.3672171,-7.146881111,72.58882729,LOS
23,463238.9906,44,0,-341283.3597,39,39,40,0.444,17848.10072,-8.68E-05,3.23E-12,0,346.6402263,-2.833613317,1123.936968,NLOS
73,463238.9906,22,0,-278967.7084,35,34,34,0.168,18547.04407,1.17E-04,1.82E-12,0,352.6403342,-7.895939205,-36.66701383,NLOS
74,463238.9906,44,0,-303128.7399,42,41,42,0.114,18590.8674,3.67E-05,1.82E-12,0,396.4636704,6.740984958,-4.679783255,NLOS
11,463238.9906,54,0,-482000.7325,38,37,38,0.219,18630.39664,-5.56E-04,2.01E-13,0,435.775008,-0.979712851,1166.351235,LOS
31,463238.9906,38,0,-217610.1227,34,33,34,0.416,18434.80274,3.23E-04,-4.06E-13,0,239.5500613,-0.802362405,384.6408735,NLOS
32,463239.9906,55,0,-401729.7173,31,30,30,0.162,18377.38162,-2.29E-04,8.89E-12,0,169.0513117,-12.29008067,598.2229541,NLOS
1,463239.9906,79,0,-335627.495,50,49,49,-0.067,18232.4216,-8.59E-06,6.41E-13,0,23.3276811,-8.832789831,701.5419688,LOS
3,463239.9906,52,0,-274218.9164,40,40,41,-0.064,17933.64952,1.94E-04,1.83E-11,0,275.5348099,-9.119484678,-55.7786449,LOS
4,463239.9906,56,0,-335193.3902,49,48,49,-0.034,18641.4809,-6.70E-06,1.24E-12,0,432.3540844,-8.765731659,834.4151477,LOS
70,463239.9906,12,0,-294001.4938,37,36,37,-0.488,17413.44762,1.28E-04,4.55E-12,0,795.6451225,3.722094603,73.1864077,LOS
23,463239.9906,44,0,-359494.2411,39,38,40,-0.27,17853.78292,-8.68E-05,3.23E-12,0,354.957901,-8.317674726,1125.725256,NLOS
73,463239.9906,22,0,-297176.7578,35,34,35,-0.619,18578.18461,1.17E-04,1.82E-12,0,369.0910527,16.45071846,-36.71117487,NLOS
74,463239.9906,44,0,-321337.6205,42,42,42,0.033,18592.27177,3.67E-05,1.82E-12,0,383.1782075,-13.2854629,-4.892795328,NLOS
11,463239.9906,54,0,-500207.8205,38,37,38,0.045,18636.36204,-5.56E-04,2.01E-13,0,426.9742131,-8.800794829,1164.345201,LOS
31,463239.9906,38,0,-235802.6897,34,33,34,-0.154,18440.72907,3.23E-04,-4.06E-13,0,230.6150512,-8.935010187,368.1136725,NLOS
32,463240.9873,55,0,-419875.1718,32,31,31,-0.12,18315.15442,-2.29E-04,8.89E-12,0,180.3827598,11.33144815,608.3349077,NLOS
1,463240.9873,79,0,-353767.1229,50,49,50,0.155,18170.99867,-8.59E-06,6.41E-13,0,35.66651705,12.33883595,705.8248513,LOS
3,463240.9873,52,0,-292357.9603,40,39,41,0.029,17873.13451,1.94E-04,1.83E-11,0,262.3441855,13.19062436,-52.07443012,LOS
4,463240.9873,56,0,-353334.8889,49,48,49,0.063,18578.63677,-6.70E-06,1.24E-12,0,443.2271279,10.87304348,840.5690203,LOS
70,463240.9873,12,0,-312136.5958,37,36,37,-0.314,17342.34284,1.28E-04,4.55E-12,0,793.0009604,2.644162074,72.94466257,LOS
23,463240.9873,44,0,-377628.8413,39,38,39,0.301,17793.59918,-8.68E-05,3.23E-12,0,341.5915261,13.36637489,1124.981291,NLOS
73,463240.9873,22,0,-315312.184,35,34,35,0.189,18484.5165,1.17E-04,1.82E-12,0,349.1718775,-19.91917519,-36.62966122,NLOS
74,463240.9873,44,0,-339473.411,43,42,42,0.086,18532.74592,3.67E-05,1.82E-12,0,397.4013011,14.2230936,-4.446905691,NLOS
11,463240.9873,54,0,-518345.477,38,37,38,-0.217,18573.52753,-5.56E-04,2.01E-13,0,437.8776779,10.90346472,1166.656619,LOS
31,463240.9873,38,0,-253949.8295,34,33,34,0.031,18378.60847,3.23E-04,-4.06E-13,0,242.0512563,11.43620516,379.9081445,NLOS
32,463241.9874,55,0,-438079.1413,32,31,32,-0.126,18379.25944,-2.29E-04,8.89E-12,0,179.9407541,-0.442005727,608.6092663,NLOS
1,463241.9874,79,0,-371970.1087,49,49,50,-0.213,18232.39328,-8.59E-06,6.41E-13,0,28.67555819,-6.990958866,705.1130757,LOS
3,463241.9874,52,0,-310562.3986,40,39,40,-0.25,17933.43682,1.94E-04,1.83E-11,0,270.5091863,-8.165000819,-51.32847509,LOS
4,463241.9874,56,0,-371534.9914,49,48,49,-0.217,18641.38941,-6.70E-06,1.24E-12,0,437.6161235,-5.611004438,836.9741233,LOS
70,463241.9874,12,0,-330340.3273,37,36,37,0.256,17411.75388,1.28E-04,4.55E-12,0,791.9425952,1.058365151,72.97963782,LOS
23,463241.9874,44,0,-395834.5414,38,33,39,-0.648,17853.63231,-8.68E-05,3.23E-12,0,351.3643913,-9.772865169,1126.984486,NLOS
73,463241.9874,22,0,-333515.7875,35,34,35,0.393,18568.81147,1.17E-04,1.82E-12,0,365.1141721,15.94229458,-36.72338505,NLOS
74,463241.9874,44,0,-357676.6347,43,42,43,0.006,18590.30963,3.67E-05,1.82E-12,0,386.6123364,-10.78896468,-4.920526985,NLOS
11,463241.9874,54,0,-536548.4178,38,37,38,-0.068,18636.28115,-5.56E-04,2.01E-13,0,432.2284488,-5.649229042,1165.899561,LOS
31,463241.9874,38,0,-272145.0455,34,33,34,0.008,18440.70477,3.23E-04,-4.06E-13,0,235.9819949,-6.069261421,371.4262383,NLOS
32,463242.9874,55,0,-456286.3308,33,32,32,0.123,18376.90241,-2.29E-04,8.89E-12,0,172.5556197,-7.385134384,612.4034268,NLOS
1,463242.9874,79,0,-390169.8455,49,49,50,0.285,18232.40301,-8.59E-06,6.41E-13,0,28.95832868,0.282770496,701.4520101,LOS
3,463242.9874,52,0,-328761.5621,40,39,40,0.082,17933.35315,1.94E-04,1.83E-11,0,270.2523778,0.256808545,-55.55751259,LOS
4,463242.9874,56,0,-389737.4716,49,48,49,0.234,18641.36971,-6.70E-06,1.24E-12,0,437.8754033,0.259279832,836.0566397,LOS
70,463242.9874,12,0,-348543.4162,37,36,37,0.019,17407.61676,1.28E-04,4.55E-12,0,795.7799303,-3.837335102,72.6718218,LOS
23,463242.9874,44,0,-414021.9251,34,33,39,0.589,17853.60705,-8.68E-05,3.23E-12,0,354.7249213,-3.360529941,1110.971071,NLOS
73,463242.9874,22,0,-351719.5888,35,34,35,-0.691,18550.24362,1.17E-04,1.82E-12,0,346.8461156,-18.26805648,-36.3196028,NLOS
74,463242.9874,44,0,-375879.7157,43,42,43,0.13,18604.82528,3.67E-05,1.82E-12,0,401.4277733,14.81543686,-5.23704388,NLOS
11,463242.9874,54,0,-554745.507,38,37,38,0.219,18636.2538,-5.56E-04,2.01E-13,0,432.5949171,0.366468266,1159.590844,LOS
31,463242.9874,38,0,-290356.9185,34,33,34,0.33,18440.71683,3.23E-04,-4.06E-13,0,236.4776309,0.495635986,379.9010705,NLOS
32,463243.9909,55,0,-474539.9925,33,32,33,-0.247,18440.05475,-2.29E-04,8.89E-12,0,176.8554673,4.299847621,609.9062362,NLOS
1,463243.9909,79,0,-408434.7957,49,48,49,-0.066,18294.00844,-8.59E-06,6.41E-13,0,37.8125447,8.854216021,710.2408109,LOS
17,463243.9909,14,0,-451644.877,35,34,34,-0.205,18129.86822,-1.54E-04,1.42E-12,0,138.2806571,9.03138468,185.5296666,NLOS
3,463243.9909,52,0,-347030.1325,40,39,40,-0.015,17993.86306,1.94E-04,1.83E-11,0,262.3886664,7.863711443,-43.14322479,LOS
4,463243.9909,56,0,-407997.4332,49,48,49,-0.082,18704.33538,-6.70E-06,1.24E-12,0,448.0493612,10.17395794,839.8570731,LOS
70,463243.9909,12,0,-366799.1451,37,36,37,0.098,17464.34346,1.28E-04,4.55E-12,0,791.8166991,3.963231266,72.24055095,LOS
73,463243.9909,22,0,-369975.8124,34,33,35,-0.319,18622.27362,1.17E-04,1.82E-12,0,366.1126466,19.26653097,-36.25698395,NLOS
74,463243.9909,44,0,-394136.0145,43,42,43,-0.162,18644.35398,3.67E-05,1.82E-12,0,388.1930016,-13.23477167,-5.099156462,NLOS
11,463243.9909,54,0,-573008.985,38,37,38,-0.002,18699.20406,-5.56E-04,2.01E-13,0,442.7833789,10.18846184,1166.907359,LOS
31,463243.9909,38,0,-308614.3581,33,33,34,-0.203,18503.01373,3.23E-04,-4.06E-13,0,246.4999482,10.02231731,381.1790177,NLOS
32,463244.9875,55,0,-492673.4341,33,32,33,0.159,18315.85384,-2.29E-04,8.89E-12,0,169.5736003,-7.281867035,604.1080185,NLOS
1,463244.9875,79,0,-426575.2245,49,48,49,0.166,18170.87238,-8.59E-06,6.41E-13,0,31.59126649,-6.221278209,711.4274311,LOS
17,463244.9875,14,0,-469768.6308,35,34,35,0.252,18007.07157,-1.54E-04,1.42E-12,0,148.5347411,-10.25408403,170.0414225,NLOS
3,463244.9875,52,0,-365170.5468,40,39,40,-0.006,17872.65482,1.94E-04,1.83E-11,0,266.5825586,-4.193892222,-41.96592275,LOS
4,463244.9875,56,0,-426137.7373,49,48,49,0.133,18578.39446,-6.70E-06,1.24E-12,0,439.0609365,-8.988424696,840.9190289,LOS
70,463244.9875,12,0,-384938.7666,37,36,37,-0.201,17347.51035,1.28E-04,4.55E-12,0,791.7307567,0.085942358,72.62099,LOS
73,463244.9875,22,0,-388114.2954,34,33,35,-0.133,18496.03095,1.17E-04,1.82E-12,0,356.7890277,-9.323618893,-37.01589715,NLOS
74,463244.9875,44,0,-412275.6233,43,42,43,0.354,18530.58127,3.67E-05,1.82E-12,0,391.3393505,3.146348879,-4.732291136,NLOS
11,463244.9875,54,0,-591149.1477,38,37,38,0.103,18573.30222,-5.56E-04,2.01E-13,0,433.8139748,-8.96940415,1167.827636,LOS
31,463244.9875,38,0,-326754.7763,33,33,34,0.252,18378.50442,3.23E-04,-4.06E-13,0,239.2778161,-7.222132109,382.3546465,NLOS
32,463245.9876,55,0,-510872.8284,33,32,33,-0.25,18377.96302,-2.29E-04,8.89E-12,0,173.1890771,3.615476813,603.1049112,NLOS
1,463245.9876,79,0,-444776.8034,49,48,49,-0.178,18232.57335,-8.59E-06,6.41E-13,0,32.13161059,0.5403441,712.6063896,LOS
17,463245.9876,14,0,-487958.8171,35,34,35,-0.229,18067.25895,-1.54E-04,1.42E-12,0,143.2257054,5.309035689,159.8280065,NLOS
3,463245.9876,52,0,-383373.2043,40,39,40,-0.325,17933.24067,1.94E-04,1.83E-11,0,266.9986251,-0.416066527,-39.70305491,LOS
4,463245.9876,56,0,-444338.8355,49,48,49,-0.222,18641.45216,-6.70E-06,1.24E-12,0,441.00168,1.940743439,841.6175414,LOS
70,463245.9876,12,0,-403138.6188,37,36,37,-0.471,17406.56332,1.28E-04,4.55E-12,0,793.8354437,-2.104686998,72.0744291,LOS
73,463245.9876,22,0,-406315.1422,33,28,34,0.391,18556.94274,1.17E-04,1.82E-12,0,356.5431643,-0.245863389,-36.56866322,NLOS
74,463245.9876,44,0,-430475.7835,43,42,43,-0.074,18594.43409,3.67E-05,1.82E-12,0,394.0345136,2.695163064,-4.971720215,NLOS
11,463245.9876,54,0,-609349.3089,38,37,38,-0.275,18636.32325,-5.56E-04,2.01E-13,0,435.7566905,1.942715734,1167.588804,LOS
31,463245.9876,38,0,-344959.0043,33,33,33,-0.327,18440.89079,3.23E-04,-4.06E-13,0,240.6180135,1.340197414,386.1823574,NLOS
32,463246.9877,55,0,-529085.1383,34,33,33,0.263,18377.95768,-2.29E-04,8.89E-12,0,184.9346337,11.74555665,618.0152049,NLOS
1,463246.9877,79,0,-462977.3503,49,48,49,0.414,18232.6568,-8.59E-06,6.41E-13,0,35.21205641,3.080445815,715.7512022,LOS
17,463246.9877,14,0,-506159.4196,35,34,35,0.428,18068.86533,-1.54E-04,1.42E-12,0,129.1072964,14.11840896,163.0287519,NLOS
3,463246.9877,52,0,-401577.3288,40,39,40,0.332,17933.24964,1.94E-04,1.83E-11,0,264.08966,2.908965055,-32.97525782,LOS
4,463246.9877,56,0,-462537.7234,49,48,49,0.41,18641.51617,-6.70E-06,1.24E-12,0,444.0487409,3.047060948,843.1035814,LOS
70,463246.9877,12,0,-421336.5011,37,36,37,0.277,17408.68809,1.28E-04,4.55E-12,0,788.7127485,5.12269523,72.55593036,LOS
73,463246.9877,22,0,-424519.6007,29,28,34,-0.553,18554.23301,1.17E-04,1.82E-12,0,356.8313563,0.288192049,-29.51185208,NLOS
74,463246.9877,44,0,-448673.1392,42,42,43,0.308,18596.30361,3.67E-05,1.82E-12,0,398.9019498,4.867436219,-5.017589785,NLOS
11,463246.9877,54,0,-627545.2898,38,37,38,0.461,18636.40088,-5.56E-04,2.01E-13,0,438.7099739,2.953283388,1166.167527,LOS
31,463246.9877,38,0,-363168.7452,34,33,33,0.369,18440.98236,3.23E-04,-4.06E-13,0,244.0384593,3.420445833,398.5209354,NLOS
32,463247.9877,55,0,-547281.6163,34,33,34,-0.132,18377.92885,-2.29E-04,8.89E-12,0,171.8671066,-13.06752715,610.1984551,NLOS
1,463247.9877,79,0,-481179.8152,49,48,49,0.068,18232.70385,-8.59E-06,6.41E-13,0,28.37149651,-6.840559896,713.9189317,LOS
3,463247.9877,52,0,-419777.8495,39,38,40,-0.126,17933.2122,1.94E-04,1.83E-11,0,271.1185801,-7.028920013,-36.74651848,LOS
4,463247.9877,56,0,-480740.916,49,48,49,0.051,18641.53836,-6.70E-06,1.24E-12,0,437.1933617,-6.855379254,841.9990608,LOS
70,463247.9877,12,0,-439541.3326,37,36,37,-0.207,17406.97842,1.28E-04,4.55E-12,0,797.3176444,-8.604895901,73.0913779,LOS
9,463247.9877,14,0,-502500.5699,33,32,33,0.094,17655.72174,-7.79E-05,-1.08E-11,0,550.6720375,-1.003277365,1258.479569,NLOS
73,463247.9877,22,0,-442723.9506,30,29,33,0.614,18568.47436,1.17E-04,1.82E-12,0,364.1774745,7.346118152,-29.45886635,NLOS
74,463247.9877,44,0,-466877.9366,42,42,43,-0.185,18593.82385,3.67E-05,1.82E-12,0,389.526965,-9.374984741,-4.517149359,NLOS
11,463247.9877,54,0,-645749.937,38,37,38,0.019,18636.42611,-5.56E-04,2.01E-13,0,431.8925683,-6.817405641,1166.517365,LOS
31,463247.9877,38,0,-381367.1636,33,32,34,0.194,18441.04396,3.23E-04,-4.06E-13,0,237.8697024,-6.168756898,392.6417908,NLOS
32,463248.9878,55,0,-565567.2439,34,33,34,0.244,18378.13071,-2.29E-04,8.89E-12,0.0092049,112.7973992,-59.06970738,631.2730077,NLOS
1,463248.9878,79,0,-498956.5916,49,48,49,0.166,18232.98919,-9.34E-06,1.10E-12,0.0043554,257.5345047,-285.9060012,0.177882191,LOS
3,463248.9878,52,0,-438064.5784,39,38,40,0.187,17933.39593,1.94E-04,2.19E-11,-0.0036144,361.6526735,-90.53409341,-44.77070729,LOS
4,463248.9878,56,0,-498163.0142,49,48,49,0.103,18641.78902,-6.77E-06,6.84E-13,0.0172048,355.2653629,-81.92799871,-22.39776026,LOS
70,463248.9878,12,0,-457791.7244,36,36,37,-0.18,17408.36818,1.28E-04,4.55E-12,-0.056146,856.1861727,-58.86852832,58.92881806,LOS
9,463248.9878,14,0,-520723.1567,33,32,33,0.584,17657.8353,-7.79E-05,-1.08E-11,-0.02323,614.7155185,-64.04348097,1216.507386,NLOS
73,463248.9878,22,0,-460952.618,29,28,30,0.058,18548.28712,1.17E-04,1.82E-12,0.029988,283.7319525,-80.44552198,-65.3466269,NLOS
74,463248.9878,44,0,-485154.1868,42,42,42,0.533,18595.11956,3.67E-05,1.82E-12,0.0202065,330.564392,-58.96257309,7.177873366,NLOS
11,463248.9878,54,0,-662827.6947,39,38,38,0.137,18636.67023,-5.56E-04,-2.39E-12,0.016995,377.4465263,-54.44604193,-14.87797334,LOS
