Pin,LOS Satellites,NLOS Satellites,Total Satellites
0,33,18,51
1,31,20,51
2,29,22,51
3,29,22,51
4,26,25,51
5,25,26,51
6,25,26,51
7,24,27,51
8,23,28,51
9,21,30,51
10,19,32,51
11,19,32,51
12,19,32,51
13,17,34,51
14,16,35,51
15,14,37,51
16,16,35,51
17,16,35,51
18,17,34,51
19,17,34,51
20,17,34,51
21,20,31,51
22,20,31,51
23,24,27,51
24,30,21,51
25,35,16,51
26,41,10,51
27,44,7,51
28,44,7,51
29,44,7,51
30,44,7,51
31,44,7,51
32,44,7,51
33,44,7,51
34,45,6,51
35,45,6,51
36,42,9,51
37,39,12,51
38,37,14,51
39,32,19,51
40,32,19,51
41,33,18,51
42,33,18,51
43,33,18,51

Summary Statistics
Average LOS satellites per pin,29.6
Average NLOS satellites per pin,21.4
Maximum LOS satellites (Pin 34),45
Minimum LOS satellites (Pin 15),14
