GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027121418,2,-0.000,-0.000,-26559000.000,173621606928118.030,47.2,-475.261
1713027121418,3,-0.000,-0.000,-26559000.000,173621605817427.470,44.3,-473.340
1713027121418,8,-0.000,0.000,-26559000.000,173621608713717.600,50.7,200.343
1713027121418,10,-0.000,0.000,-26559000.000,173621607050747.250,36.2,385.697
1713027121418,21,-2902376.532,-3584136.526,26155509.110,173621608161738.800,44.1,-317.259
1713027121418,27,-1037456.708,-4493718.700,26155509.110,173621607689005.100,43.2,566.130
1713027121418,28,-958872.493,-4511140.401,26155509.110,173621605995526.060,38.1,-479.232
1713027121418,32,-401955.484,-4594372.205,26155509.110,173621608399253.900,42.2,270.686
1713027121418,6,-0.000,-0.000,-26559000.000,21441560936506.100,37.0,-495.264
1713027121418,5,-0.000,-0.000,-26559000.000,21441562336121.970,42.3,327.072
1713027121418,20,-3085978.138,-3427325.941,26155509.110,21441562517949.992,30.1,-174.953
1713027121418,21,-2902376.532,-3584136.526,26155509.110,21441559536810.496,44.6,-721.883
1713027121418,4,-0.000,-0.000,-26559000.000,21441558959265.723,25.9,719.250
1713027121418,60,-0.000,-0.000,-26559000.000,173617394131059.750,41.2,-2.103
1713027121418,43,4123919.407,8093647.552,-24957296.308,173617410420840.880,45.5,-304.575
1713027121418,42,1577370.210,8945710.995,-24957296.308,173617410902107.600,47.5,-47.791
1713027121418,39,-0.000,-0.000,-26559000.000,173617393768537.250,36.5,-122.739
1713027121418,34,-0.000,-0.000,-26559000.000,173617411013143.530,40.6,235.619
1713027121418,33,-160953.755,-4609112.502,26155509.110,173617407714629.340,30.7,-482.874
1713027121418,21,-2902376.532,-3584136.526,26155509.110,173617409333077.220,45.0,417.429
1713027121418,16,1740932.985,24896501.594,-9083712.992,173617393561436.400,35.0,-183.228
1713027121418,14,8945710.972,24578138.896,-4611922.009,173617410223801.700,46.8,-310.138
1713027121418,13,-1157384.683,-13228967.466,-23000768.715,173617393193838.700,29.4,4.763
1713027121418,12,2608747.831,24820577.633,9083712.992,173617409219707.120,46.5,476.990
1713027121418,11,-20267954.053,1773216.213,17071796.149,173617411304853.000,42.4,-77.194
1713027121418,9,-0.000,0.000,-26559000.000,173617393560371.840,38.4,-272.604
1713027121418,6,-0.000,-0.000,-26559000.000,173617394179068.250,31.6,-240.760
1713027121418,5,-0.000,-0.000,-26559000.000,173617395145585.620,43.1,-12.146
1713027121418,2,-0.000,-0.000,-26559000.000,173617394051470.250,31.0,-13.030
1713027121418,4,-0.000,-0.000,-26559000.000,173621603711531.440,27.4,-541.566
1713027121418,10,-0.000,0.000,-26559000.000,173621604196062.300,39.9,-393.010
1713027121418,12,2608747.831,24820577.633,9083712.992,173621605515833.560,36.9,-260.221
1713027121418,19,-3145323.214,-3372946.198,26155509.110,173621606352189.440,32.3,-87.583
1713027121418,24,-1652765.017,-4305600.071,26155509.110,173621601523550.750,39.6,356.222
1713027121418,33,-160953.755,-4609112.502,26155509.110,173621605507246.000,38.5,153.404
1713027121418,3,-0.000,-0.000,-26559000.000,173621605819773.030,34.3,-473.061
