GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027121418,2,0.000,0.000,-26559000.000,7.000,47.2,-475.261
1713027121418,3,0.000,0.000,-26559000.000,10.000,44.3,-473.340
1713027121418,8,0.000,0.000,-26559000.000,5.000,50.7,200.343
1713027121418,10,0.000,0.000,-26559000.000,21.000,36.2,385.697
1713027121418,21,0.000,0.000,-26559000.000,10.000,44.1,-317.259
1713027121418,27,0.000,0.000,-26559000.000,11.000,43.2,566.130
1713027121418,28,0.000,0.000,-26559000.000,17.000,38.1,-479.232
1713027121418,32,0.000,0.000,-26559000.000,12.000,42.2,270.686
1713027121418,6,0.000,0.000,-26559000.000,17.000,37.0,-495.264
1713027121418,5,0.000,0.000,-26559000.000,11.000,42.3,327.072
1713027121418,20,0.000,0.000,-26559000.000,40.000,30.1,-174.953
1713027121418,21,0.000,0.000,-26559000.000,9.000,44.6,-721.883
1713027121418,4,0.000,0.000,-26559000.000,80.000,25.9,719.250
1713027121418,60,0.000,0.000,-26559000.000,13.000,41.2,-2.103
1713027121418,43,0.000,0.000,-26559000.000,8.000,45.5,-304.575
1713027121418,42,0.000,0.000,-26559000.000,6.000,47.5,-47.791
1713027121418,39,0.000,0.000,-26559000.000,19.000,36.5,-122.739
1713027121418,34,0.000,0.000,-26559000.000,13.000,40.6,235.619
1713027121418,33,0.000,0.000,-26559000.000,40.000,30.7,-482.874
1713027121418,21,0.000,0.000,-26559000.000,9.000,45.0,417.429
1713027121418,16,0.000,0.000,-26559000.000,24.000,35.0,-183.228
1713027121418,14,0.000,0.000,-26559000.000,7.000,46.8,-310.138
1713027121418,13,0.000,0.000,-26559000.000,46.000,29.4,4.763
1713027121418,12,0.000,0.000,-26559000.000,7.000,46.5,476.990
1713027121418,11,0.000,0.000,-26559000.000,11.000,42.4,-77.194
1713027121418,9,0.000,0.000,-26559000.000,16.000,38.4,-272.604
1713027121418,6,0.000,0.000,-26559000.000,35.000,31.6,-240.760
1713027121418,5,0.000,0.000,-26559000.000,11.000,43.1,-12.146
1713027121418,2,0.000,0.000,-26559000.000,40.000,31.0,-13.030
1713027121418,4,0.000,0.000,-26559000.000,61.000,27.4,-541.566
1713027121418,10,0.000,0.000,-26559000.000,14.000,39.9,-393.010
1713027121418,12,0.000,0.000,-26559000.000,19.000,36.9,-260.221
1713027121418,19,0.000,0.000,-26559000.000,31.000,32.3,-87.583
1713027121418,24,0.000,0.000,-26559000.000,14.000,39.6,356.222
1713027121418,33,0.000,0.000,-26559000.000,16.000,38.5,153.404
1713027121418,3,0.000,0.000,-26559000.000,7.000,34.3,-473.061
1713027121418,8,0.000,0.000,-26559000.000,5.000,37.0,200.531
1713027121418,27,0.000,0.000,-26559000.000,6.000,35.1,566.281
1713027121418,32,0.000,0.000,-26559000.000,18.000,25.4,270.717
1713027121418,10,0.000,0.000,-26559000.000,7.000,34.8,-393.020
1713027121418,12,0.000,0.000,-26559000.000,10.000,30.8,-262.033
1713027121418,19,0.000,0.000,-26559000.000,18.000,25.8,-87.546
1713027121418,24,0.000,0.000,-26559000.000,11.000,29.5,356.326
1713027121418,33,0.000,0.000,-26559000.000,9.000,31.4,153.716
1713027121418,21,0.000,0.000,-26559000.000,6.000,35.1,417.640
1713027121418,33,0.000,0.000,-26559000.000,7.000,33.9,-481.852
1713027121418,34,0.000,0.000,-26559000.000,7.000,33.6,235.815
1713027121418,39,0.000,0.000,-26559000.000,10.000,29.6,-122.119
1713027121418,42,0.000,0.000,-26559000.000,8.000,33.0,-47.280
1713027121418,43,0.000,0.000,-26559000.000,8.000,32.6,-304.237
1713027121418,21,0.000,0.000,-26559000.000,3.000,44.1,417.589
1713027121418,33,0.000,0.000,-26559000.000,8.000,35.5,-480.735
1713027121418,34,0.000,0.000,-26559000.000,3.000,43.7,235.775
1713027121418,39,0.000,0.000,-26559000.000,6.000,38.7,-122.573
1713027121418,42,0.000,0.000,-26559000.000,4.000,41.0,-47.638
1713027121418,43,0.000,0.000,-26559000.000,3.000,45.0,-304.400
1713027122418,2,0.000,0.000,-26559000.000,7.000,47.6,-473.361
1713027122418,3,0.000,0.000,-26559000.000,10.000,44.8,-471.572
1713027122418,8,0.000,0.000,-26559000.000,5.000,51.8,202.282
1713027122418,10,0.000,0.000,-26559000.000,17.000,38.0,387.780
1713027122418,21,253767.296,281837.135,26556292.117,10.000,44.9,-315.380
1713027122418,27,91748.703,367983.949,26556292.117,11.000,43.4,568.058
1713027122418,28,85312.524,369529.139,26556292.117,17.000,38.3,-477.399
1713027122418,32,39642.344,377171.706,26556292.117,11.000,43.1,272.611
1713027122418,6,0.000,0.000,-26559000.000,17.000,37.7,-493.039
1713027122418,5,0.000,0.000,-26559000.000,10.000,43.5,328.976
1713027122418,20,258647.382,277365.360,26556292.117,46.000,29.5,-172.353
1713027122418,19,263448.682,272809.096,26556292.117,70.000,26.4,573.558
1713027122418,21,253767.296,281837.135,26556292.117,9.000,44.9,-719.988
1713027122418,60,0.000,0.000,-26559000.000,12.000,41.9,0.826
1713027122418,43,1786613.200,10132386.960,24485163.442,7.000,46.6,-302.625
1713027122418,42,1431909.638,10188566.485,24485163.442,6.000,48.0,-45.863
1713027122418,39,0.000,0.000,-26559000.000,19.000,36.7,-120.774
1713027122418,34,13235.609,379018.245,26556292.117,12.000,41.9,237.556
1713027122418,33,33053.752,377806.115,26556292.117,35.000,31.7,-479.657
1713027122418,21,253767.296,281837.135,26556292.117,8.000,45.5,419.366
1713027122418,16,0.000,0.000,-26559000.000,19.000,36.5,-181.237
1713027122418,14,0.000,0.000,-26559000.000,6.000,47.6,-308.191
1713027122418,13,0.000,0.000,-26559000.000,46.000,29.8,6.308
