 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32,466539.0008,44,0,-315927.0486,48,47,48,-0.396,9873.863238,-2.30E-04,1.20E-11,0,137.7547463,-193.1909044,-35.68653458,LOS
1,466539.0008,56,0,-250324.4221,38,37,38,0.113,9928.585055,-8.59E-06,1.09E-12,0,191.6289565,-239.5010332,818.3058239,NLOS
3,466539.0008,66,0,-188874.2667,46,45,46,-0.285,9640.43114,1.94E-04,2.18E-11,0,95.90063551,11.01780599,9.921994496,LOS
23,466539.0008,58,0,-273622.2961,31,30,32,0.196,9632.298271,-8.63E-05,-5.90E-13,0,108.2907406,22.62928404,810.3362231,NLOS
9,466539.0008,30,0,-270320.4826,41,40,41,-0.181,9503.215558,-7.85E-05,-1.18E-11,0,233.0647201,131.5460555,-129.8216617,LOS
73,466539.0008,10,0,-211623.0997,37,36,37,-0.401,9937.767502,1.18E-04,9.09E-13,0,201.707781,-214.5323233,-48.84017726,NLOS
32,466540.0009,44,2,-334118.4674,48,47,48,0.171,18512.86118,-2.30E-04,1.20E-11,0,317.7681905,180.0134442,-39.26802292,LOS
1,466540.0009,56,2,-268518.1594,38,38,38,-0.072,18615.31913,-8.59E-06,1.09E-12,0,417.8740778,226.2451213,817.0396379,NLOS
3,466540.0009,66,2,-207069.7374,46,45,46,0.203,18075.22842,1.94E-04,2.18E-11,0,119.8711143,-23.97047875,10.39535794,LOS
23,466540.0009,58,2,-291815.5374,31,30,31,-0.069,18059.54882,-8.63E-05,-5.90E-13,0,144.2730509,-35.98231031,808.5735606,NLOS
9,466540.0009,30,2,-288534.0938,41,40,41,0.154,17817.92166,-7.85E-05,-1.18E-11,0,376.7871141,-143.7223941,-111.2177723,LOS
73,466540.0009,10,0,-229803.0803,37,36,37,-0.027,18597.7811,1.18E-04,9.09E-13,0,402.7775086,201.0697276,-63.86319678,NLOS
74,466540.0009,20,0,-253931.7839,29,28,38,1.58,18776.15069,3.71E-05,1.82E-12,0,581.1473754,162.6695001,-64.3608778,NLOS
32,466541.0009,44,2,-352350.2559,48,47,48,0.079,18512.94235,-2.30E-04,1.20E-11,0,282.2372339,-35.5309566,-38.15502608,LOS
1,466541.0009,56,2,-286734.5332,38,37,38,0.279,18615.60162,-8.59E-06,1.09E-12,0,384.2690649,-33.60501285,802.734573,NLOS
3,466541.0009,66,2,-225300.5541,46,45,46,0.076,18075.30727,1.94E-04,2.18E-11,0,155.6613802,-35.79026591,10.5394174,LOS
23,466541.0009,58,0,-310011.6443,31,30,31,-0.363,18059.18791,-8.63E-05,-5.90E-13,0,195.6581992,-51.38514834,774.0010705,NLOS
9,466541.0009,30,2,-306743.8759,42,41,41,0.094,17818.01835,-7.85E-05,-1.18E-11,0,412.469046,-35.68193187,-132.1184416,LOS
73,466541.0009,10,0,-248051.2113,37,36,37,-0.353,18637.09051,1.18E-04,9.09E-13,0,406.4116218,3.634113245,-46.41109356,NLOS
74,466541.0009,20,0,-272252.7542,30,29,29,-1.219,19015.39433,3.71E-05,1.82E-12,0,784.7157073,203.5683319,25.93073855,NLOS
11,466541.0009,30,0,-449988.9748,33,30,37,0.391,18842.15226,-5.56E-04,-1.73E-14,0,616.6777796,-30.19171928,-56.43184039,NLOS
32,466542.001,44,2,-370560.2234,48,47,48,-0.067,18512.88175,-2.30E-04,1.20E-11,0,301.9865373,19.74930338,-39.07676908,LOS
1,466542.001,56,2,-304957.5897,37,31,38,-0.035,18615.57091,-8.59E-06,1.09E-12,0,405.2113155,20.94225059,814.8985581,NLOS
3,466542.001,66,2,-243510.5413,47,46,46,-0.072,18075.24026,1.94E-04,2.18E-11,0,135.7835825,19.87779768,9.640314307,LOS
23,466542.001,58,0,-328216.2599,31,30,31,-0.137,18059.0575,-8.63E-05,-5.90E-13,0,162.8001767,32.85802248,767.7236009,NLOS
9,466542.001,30,2,-324965.8604,42,41,42,-0.096,17817.92652,-7.85E-05,-1.18E-11,0,392.7589624,19.71008359,-121.0303124,LOS
73,466542.001,10,0,-266248.6962,36,36,37,0.179,18606.95432,1.18E-04,9.09E-13,0,396.0617329,-10.34988888,-59.81878612,NLOS
74,466542.001,20,0,-290451.114,31,30,30,0.436,18868.6007,3.71E-05,1.82E-12,0,657.7083876,-127.0073197,13.39823896,NLOS
11,466542.001,30,0,-468212.2375,40,36,33,-0.047,18842.11119,-5.56E-04,-1.73E-14,0,627.776157,11.0983774,-44.06202243,NLOS
32,466543.0011,44,2,-388774.8072,48,48,48,-0.211,18512.65607,-2.30E-04,1.20E-11,0,299.1006389,-2.885898381,-38.08036116,LOS
1,466543.0011,56,2,-323173.9171,32,31,38,-0.244,18615.31187,-8.59E-06,1.09E-12,0,401.9326684,-3.278647102,817.6352647,NLOS
3,466543.0011,66,2,-261724.1417,47,46,47,-0.18,18075.04605,1.94E-04,2.18E-11,0,138.6255704,-2.84198793,9.656207409,LOS
23,466543.0011,58,0,-346415.4677,31,30,31,0.213,18059.25574,-8.63E-05,-5.90E-13,0,168.8686048,-6.068428051,753.340253,NLOS
9,466543.0011,30,2,-343180.8926,42,41,42,-0.186,17817.72591,-7.85E-05,-1.18E-11,0,395.6409838,-2.88202136,-119.5926688,LOS
73,466543.0011,10,0,-284462.1157,36,35,37,-0.166,18616.25088,1.18E-04,9.09E-13,0,402.6601577,6.598424826,-59.98999002,NLOS
74,466543.0011,20,0,-308712.9915,30,29,31,-0.57,18942.87804,3.71E-05,1.82E-12,0,729.2875909,71.57920323,61.68531242,NLOS
11,466543.0011,30,0,-486422.9761,36,35,40,-0.516,18841.58033,-5.56E-04,-1.73E-14,0,621.7992257,-5.976931304,-46.91442764,NLOS
32,466544.0011,44,2,-406983.045,49,48,48,-0.041,18512.62997,-2.30E-04,1.20E-11,0,303.2660518,4.165412914,-39.23292264,LOS
1,466544.0011,56,2,-341388.6047,32,31,37,0.15,18615.47798,-8.59E-06,1.09E-12,0,407.4773331,5.544664729,822.9292515,NLOS
3,466544.0011,66,2,-279933.9161,47,46,47,-0.012,18075.04749,1.94E-04,2.18E-11,0,134.4034343,4.222136155,10.04327949,LOS
23,466544.0011,58,0,-364621.8491,31,30,31,0.238,18059.50798,-8.63E-05,-5.90E-13,0,156.5273875,12.34121732,750.3276304,NLOS
9,466544.0011,30,2,-361397.4731,42,41,42,-0.044,17817.69595,-7.85E-05,-1.18E-11,0,392.0199845,3.620999295,-112.4095482,LOS
73,466544.0011,10,0,-302671.574,36,35,36,0.074,18617.82973,1.18E-04,9.09E-13,0,408.4360989,5.775941193,-59.92532029,NLOS
74,466544.0011,20,0,-326822.4002,30,29,31,0.847,18788.82563,3.71E-05,1.82E-12,0,579.4322722,-149.8553187,-38.29933314,NLOS
11,466544.0011,30,2,-504640.133,36,36,40,-0.029,18841.56606,-5.56E-04,-1.73E-14,0,633.9118184,12.11259271,-39.15144406,NLOS
32,466545.0012,44,2,-425197.1769,48,48,49,-0.117,18512.49688,-2.30E-04,1.20E-11,0,297.982786,-5.283265799,-39.58776803,LOS
1,466545.0012,56,2,-359603.4213,32,31,32,-0.152,18615.30903,-8.59E-06,1.09E-12,0,401.5628322,-5.914500941,823.2558792,NLOS
3,466545.0012,66,2,-298149.1716,47,46,47,-0.146,18074.88562,1.94E-04,2.18E-11,0,139.9068731,-5.503438871,10.81491932,LOS
23,466545.0012,58,2,-382839.5351,31,30,31,-0.496,18058.99623,-8.63E-05,-5.90E-13,0,152.758263,3.769124422,753.5230889,NLOS
9,466545.0012,30,2,-379612.6205,42,41,42,-0.133,17817.54682,-7.85E-05,-1.18E-11,0,396.9041625,-4.884178024,-111.7560516,LOS
73,466545.0012,10,0,-320895.5299,36,30,36,0.055,18627.52226,1.18E-04,9.09E-13,0,413.032158,4.596059106,-50.45950949,NLOS
74,466545.0012,20,0,-345050.9485,30,29,30,-0.207,18911.85638,3.71E-05,1.82E-12,0,697.3665583,117.9342861,-24.24081287,NLOS
11,466545.0012,30,2,-522853.6736,36,35,36,-0.183,18841.36639,-5.56E-04,-1.73E-14,0,627.1577161,-6.75410229,-40.10121423,NLOS
32,466546.0012,44,2,-443413.53,48,48,49,-0.152,18512.34374,-2.30E-04,1.20E-11,0,299.2570737,1.274287671,-36.22247043,LOS
1,466546.0012,56,0,-377812.2796,32,31,32,-0.266,18615.0426,-8.59E-06,1.09E-12,0,400.5277784,-1.035053793,819.1230702,NLOS
3,466546.0012,66,2,-316361.626,47,46,47,-0.131,18074.75474,1.94E-04,2.18E-11,0,138.312087,1.594786171,10.28443896,LOS
23,466546.0012,58,0,-401053.2819,31,30,31,0.008,18059.00358,-8.63E-05,-5.90E-13,0,148.9410642,3.81719882,754.2782447,NLOS
9,466546.0012,30,2,-397819.9786,42,41,42,-0.133,17817.41396,-7.85E-05,-1.18E-11,0,395.7939338,1.110228743,-117.3928738,LOS
73,466546.0012,10,0,-339083.3468,30,30,36,-0.361,18585.3986,1.18E-04,9.09E-13,0,372.4074683,-40.62468975,-75.6336805,NLOS
74,466546.0012,20,0,-363304.143,30,29,30,-0.652,18941.71949,3.71E-05,1.82E-12,0,728.7286227,31.36206446,15.96280816,NLOS
11,466546.0012,30,2,-541063.5085,36,35,36,-0.071,18841.29617,-5.56E-04,-1.73E-14,0,627.2743748,0.116658676,-43.25765577,NLOS
32,466547.0013,44,2,-461625.1136,48,47,48,0.058,18512.41114,-2.30E-04,1.20E-11,0,296.9997188,-2.257354893,-40.02506551,LOS
1,466547.0013,56,2,-396032.5355,31,31,32,0.424,18615.47449,-8.59E-06,1.09E-12,0,402.0036811,1.475902691,823.9895062,NLOS
3,466547.0013,66,2,-334577.2894,47,46,47,0.106,18074.86853,1.94E-04,2.18E-11,0,140.5522276,-2.24014065,10.5645979,LOS
23,466547.0013,58,0,-419281.6329,30,22,31,-0.027,18058.98426,-8.63E-05,-5.90E-13,0,146.7012757,2.239788529,767.239355,NLOS
9,466547.0013,30,2,-416040.6601,42,41,42,0.057,17817.47933,-7.85E-05,-1.18E-11,0,398.0598225,-2.265888702,-112.1047441,LOS
73,466547.0013,10,0,-357333.7022,30,29,36,0.424,18658.81126,1.18E-04,9.09E-13,0,443.4217859,71.01431762,-40.66775887,NLOS
74,466547.0013,20,0,-381527.5847,30,29,30,0.656,18900.31291,3.71E-05,1.82E-12,0,684.923709,-43.80491377,24.01527756,NLOS
11,466547.0013,30,2,-559281.8388,36,35,36,-0.086,18841.21764,-5.56E-04,-1.73E-14,0,626.1963755,-1.077999275,-40.3171046,NLOS
32,466548.0014,44,2,-479838.2335,48,47,48,0.022,18512.42426,-2.30E-04,1.20E-11,0,299.9958907,2.996171884,-39.29341678,LOS
1,466548.0014,56,0,-414233.2033,31,30,32,-0.141,18615.32671,-8.59E-06,1.09E-12,0,396.4245601,-5.579120941,812.2658,NLOS
3,466548.0014,66,2,-352789.958,47,46,47,0.011,18074.87135,1.94E-04,2.18E-11,0,137.634361,2.917866651,10.84797234,NLOS
23,466548.0014,58,0,-437480.136,29,28,31,0.045,18059.02075,-8.63E-05,-5.90E-13,0,164.597898,-17.89662235,753.3503956,NLOS
9,466548.0014,30,2,-434249.548,42,41,42,0.06,17817.53266,-7.85E-05,-1.18E-11,0,395.2319231,2.827899382,-115.6121438,LOS
73,466548.0014,10,0,-375526.5933,30,29,30,-0.377,18593.96995,1.18E-04,9.09E-13,0,381.5783994,-61.84338648,-60.16822268,NLOS
74,466548.0014,20,0,-399718.8377,30,29,30,-0.494,18881.27671,3.71E-05,1.82E-12,0,668.8854293,-16.0382797,2.876996335,NLOS
11,466548.0014,30,0,-577495.8373,35,19,36,0.108,18841.31716,-5.56E-04,-1.73E-14,0,636.229624,10.03324851,-38.71044276,NLOS
32,466552.0016,44,0,-552723.8102,46,46,48,-0.004,18513.00299,-2.30E-04,1.20E-11,0,264.1961792,-30.93213437,-45.24056934,LOS
1,466552.0016,56,0,-487117.2814,32,31,31,-0.008,18618.70972,-8.59E-06,1.09E-12,0,373.895556,-19.24360121,804.8070069,NLOS
